Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
1.935,2.623295278,15.39917584,9329.6,1492976.59,2
1.326666667,1.201610025,13.20238505,4520.92,767813.57,1
1.075,0.249995175,12.27685794,4209.58,720619.2,0
1.83,2.623295278,15.39917584,9329.6,1492976.59,2
1.73,2.778061756,14.72956264,2940.94,424374.67,2
1.53,3.061676727,16.83861649,2759.31,391732.39,1
1.406666667,2.288574538,13.99293568,4458.14,739087.28,1
1.0375,3.943957246,16.40337541,7223.81,1026752.66,0
1.365,1.91720147,13.66144478,8956.75,1448202.96,1
1.75,3.248629719,15.6710047,10868.15,1515468.66,2
1.6025,3.607578698,16.45076001,4320.03,589529.46,1
1.683333333,2.977616548,15.74789835,5426.99,762918.99,2
1.75,2.778061756,14.72956264,2940.94,424374.67,2
1.173333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.413333333,2.288574538,13.99293568,4458.14,739087.28,1
1.275,1.91720147,13.66144478,8956.75,1448202.96,1
1.44,0.622666854,12.77145179,2699.04,415687.5,1
1.5675,3.607578698,16.45076001,4320.03,589529.46,1
1.843333333,2.977616548,15.74789835,5426.99,762918.99,2
1.67,2.778061756,14.72956264,2940.94,424374.67,1
1.376666667,3.016331711,15.80458819,5420.95,1083330.58,1
1.663333333,3.061676727,16.83861649,2759.31,391732.39,1
1.443333333,2.288574538,13.99293568,4458.14,739087.28,1
1.2325,3.943957246,16.40337541,7223.81,1026752.66,0
1.613333333,2.368443049,16.09306567,3957.57,766959.08,1
1.2725,1.91720147,13.66144478,8956.75,1448202.96,1
1.9675,3.248629719,15.6710047,10868.15,1515468.66,2
1.446666667,1.560594971,15.35378818,5749.1,1109941.17,1
1.356666667,1.201610025,13.20238505,4520.92,767813.57,1
0.925,0.249995175,12.27685794,4209.58,720619.2,0
1.295,1.420974834,13.38907371,2462.21,486945.56,1
1.306666667,2.478549891,16.53869278,1942.04,448238.73,1
1.566666667,1.339418615,13.37147729,5227.48,1092756.38,1
1.445,1.527801999,15.48000585,2589.89,508314.5,1
3.023333333,3.374076464,15.72111539,3126.25,430095.61,2
2.005,2.309735594,14.7785379,7132.56,1021534.34,2
1.226666667,0.622666854,12.77145179,2699.04,415687.5,0
1.786666667,2.778061756,14.72956264,2940.94,424374.67,2
1.44,2.288574538,13.99293568,4458.14,739087.28,1
1.3025,1.91720147,13.66144478,8956.75,1448202.96,1
2.133333333,1.560594971,15.35378818,5749.1,1109941.17,2
0.98,0.568419365,14.19299598,2702.11,500521.2,0
2.526666667,0.647127941,13.68111164,6753.96,1090064.9,2
1.69,3.061676727,16.83861649,2759.31,391732.39,2
1.345,3.943957246,16.40337541,7223.81,1026752.66,1
1.793333333,2.368443049,16.09306567,3957.57,766959.08,2
2.0575,3.248629719,15.6710047,10868.15,1515468.66,2
1.506666667,1.560594971,15.35378818,5749.1,1109941.17,1
1.173333333,1.201610025,13.20238505,4520.92,767813.57,0
0.86,0.249995175,12.27685794,4209.58,720619.2,0
1.46,1.201610025,13.20238505,4520.92,767813.57,1
1.255,0.249995175,12.27685794,4209.58,720619.2,1
1.283333333,2.96085018,15.52055799,2209.6,443157.71,1
1.41,1.438619204,13.52741199,4268.57,781236.14,1
1.5575,3.326873264,15.56233133,4026,594058.49,1
1.323333333,2.880187558,15.60503631,4767.2,771361.25,1
2.0675,2.623295278,15.39917584,9329.6,1492976.59,2
1.5975,3.607578698,16.45076001,4320.03,589529.46,1
1.583333333,2.478549891,16.53869278,1942.04,448238.73,1
1.716666667,2.977616548,15.74789835,5426.99,762918.99,2
1.48,1.527801999,15.48000585,2589.89,508314.5,1
1.133333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.503333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.213333333,2.96085018,15.52055799,2209.6,443157.71,0
1.333333333,1.438619204,13.52741199,4268.57,781236.14,1
1.036666667,1.439452116,13.5460645,5665.98,1105412.81,0
1.273333333,2.96085018,15.52055799,2209.6,443157.71,1
1.37,1.438619204,13.52741199,4268.57,781236.14,1
1.086666667,1.439452116,13.5460645,5665.98,1105412.81,0
1.393333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.376666667,2.96085018,15.52055799,2209.6,443157.71,1
1.42,1.438619204,13.52741199,4268.57,781236.14,1
1.5825,3.607578698,16.45076001,4320.03,589529.46,1
1.936666667,2.977616548,15.74789835,5426.99,762918.99,2
1.296666667,3.016331711,15.80458819,5420.95,1083330.58,1
1.395,4.032111034,16.06333101,7281.4,1039989.14,1
1.0625,3.591394938,16.21538159,9273.53,1491423.95,0
1.0625,3.310964275,15.92845371,2899.39,580373.55,0
1.713333333,1.345687315,12.45681439,6160.62,1056650.65,2
1.32,2.96085018,15.52055799,2209.6,443157.71,1
1.36,1.438619204,13.52741199,4268.57,781236.14,1
1.7825,3.607578698,16.45076001,4320.03,589529.46,2
1.31,2.478549891,16.53869278,1942.04,448238.73,1
1.76,2.977616548,15.74789835,5426.99,762918.99,2
1.225,1.527801999,15.48000585,2589.89,508314.5,0
1.263333333,3.016331711,15.80458819,5420.95,1083330.58,1
1.555,4.032111034,16.06333101,7281.4,1039989.14,1
1.1425,3.591394938,16.21538159,9273.53,1491423.95,0
1.1425,3.310964275,15.92845371,2899.39,580373.55,0
2.5625,3.356254449,15.04596884,4927.31,568223.75,2
1.435,2.750785519,14.51573123,8891.55,1023645.28,1
2.64,3.356254449,15.04596884,4927.31,568223.75,2
1.555,2.750785519,14.51573123,8891.55,1023645.28,1
3.163333333,3.374076464,15.72111539,3126.25,430095.61,2
2.0075,2.309735594,14.7785379,7132.56,1021534.34,2
1.41,0.622666854,12.77145179,2699.04,415687.5,1
2.105,2.314448466,14.38057176,11113.79,1488887.99,2
0.92,0.659758311,12.15662455,5039.01,746081.7,0
0.883333333,0.29421894,11.65794382,7350.07,1076901.18,0
1.313333333,4.032111034,16.06333101,7281.4,1039989.14,1
1.145,3.591394938,16.21538159,9273.53,1491423.95,0
1.145,3.310964275,15.92845371,2899.39,580373.55,0
1.55,4.032111034,16.06333101,7281.4,1039989.14,1
1.0975,3.591394938,16.21538159,9273.53,1491423.95,0
1.0975,3.310964275,15.92845371,2899.39,580373.55,0
1.15,2.96085018,15.52055799,2209.6,443157.71,0
1.26,1.438619204,13.52741199,4268.57,781236.14,1
1.01,1.439452116,13.5460645,5665.98,1105412.81,0
1.42,1.345687315,12.45681439,6160.62,1056650.65,1
1.526666667,1.345687315,12.45681439,6160.62,1056650.65,1
1.72,1.345687315,12.45681439,6160.62,1056650.65,2
1.5675,3.607578698,16.45076001,4320.03,589529.46,1
1.543333333,2.977616548,15.74789835,5426.99,762918.99,1
1.02,3.016331711,15.80458819,5420.95,1083330.58,0
2.485,3.805881943,15.32970153,2995.51,532397.2,2
2.555,2.927414332,14.42807294,5688.72,988078.64,2
1.5875,4.032111034,16.06333101,7281.4,1039989.14,1
1.613333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.1425,3.591394938,16.21538159,9273.53,1491423.95,0
1.1425,3.310964275,15.92845371,2899.39,580373.55,0
1.4725,4.032111034,16.06333101,7281.4,1039989.14,1
1.1875,3.591394938,16.21538159,9273.53,1491423.95,0
1.1875,3.128596379,15.73769708,2854.01,567693.2,0
1.553333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.4425,4.032111034,16.06333101,7281.4,1039989.14,1
1.09,3.591394938,16.21538159,9273.53,1491423.95,0
1.09,3.310964275,15.92845371,2899.39,580373.55,0
2.4,3.805881943,15.32970153,2995.51,532397.2,2
2.0775,2.927414332,14.42807294,5688.72,988078.64,2
1.42,2.478549891,16.53869278,1942.04,448238.73,1
1.365,1.527801999,15.48000585,2589.89,508314.5,1
1.36,2.478549891,16.53869278,1942.04,448238.73,1
1.525,1.527801999,15.48000585,2589.89,508314.5,1
1.366666667,2.478549891,16.53869278,1942.04,448238.73,1
1.38,1.527801999,15.48000585,2589.89,508314.5,1
1.46,2.478549891,16.53869278,1942.04,448238.73,1
1.575,1.527801999,15.48000585,2589.89,508314.5,1
1.436666667,2.478549891,16.53869278,1942.04,448238.73,1
1.55,1.527801999,15.48000585,2589.89,508314.5,1
1.3625,4.032111034,16.06333101,7281.4,1039989.14,1
1.105,3.591394938,16.21538159,9273.53,1491423.95,0
1.105,3.310964275,15.92845371,2899.39,580373.55,0
1.3475,4.032111034,16.06333101,7281.4,1039989.14,1
1.36,3.662923851,16.45992748,2602.98,399860.42,1
0.9975,3.591394938,16.21538159,9273.53,1491423.95,0
0.9975,3.310964275,15.92845371,2899.39,580373.55,0
1.5325,4.032111034,16.06333101,7281.4,1039989.14,1
1.175,3.591394938,16.21538159,9273.53,1491423.95,0
1.175,3.310964275,15.92845371,2899.39,580373.55,0
1.3975,4.032111034,16.06333101,7281.4,1039989.14,1
1.296666667,3.662923851,16.45992748,2602.98,399860.42,1
1.09,3.591394938,16.21538159,9273.53,1491423.95,0
1.09,3.310964275,15.92845371,2899.39,580373.55,0
1.4225,4.032111034,16.06333101,7281.4,1039989.14,1
1.15,3.591394938,16.21538159,9273.53,1491423.95,0
1.15,3.310964275,15.92845371,2899.39,580373.55,0
1.64,3.326873264,15.56233133,4026,594058.49,1
1.246666667,2.880187558,15.60503631,4767.2,771361.25,1
2.0025,2.623295278,15.39917584,9329.6,1492976.59,2
1.4925,3.326873264,15.56233133,4026,594058.49,1
1.24,2.880187558,15.60503631,4767.2,771361.25,0
1.91,2.623295278,15.39917584,9329.6,1492976.59,2
1.4975,3.326873264,15.56233133,4026,594058.49,1
1.103333333,2.880187558,15.60503631,4767.2,771361.25,0
1.8575,2.623295278,15.39917584,9329.6,1492976.59,2
1.5525,3.326873264,15.56233133,4026,594058.49,1
1.193333333,2.880187558,15.60503631,4767.2,771361.25,0
1.9175,2.623295278,15.39917584,9329.6,1492976.59,2
1.376666667,3.662923851,16.45992748,2602.98,399860.42,1
1.393333333,3.662923851,16.45992748,2602.98,399860.42,1
1.53,3.326873264,15.56233133,4026,594058.49,1
1.136666667,2.880187558,15.60503631,4767.2,771361.25,0
1.8975,2.623295278,15.39917584,9329.6,1492976.59,2
1.5675,3.326873264,15.56233133,4026,594058.49,1
1.203333333,2.880187558,15.60503631,4767.2,771361.25,0
2.0725,2.623295278,15.39917584,9329.6,1492976.59,2
1.4,3.326873264,15.56233133,4026,594058.49,1
1.216666667,2.880187558,15.60503631,4767.2,771361.25,0
1.955,2.623295278,15.39917584,9329.6,1492976.59,2
1.346666667,2.478549891,16.53869278,1942.04,448238.73,1
1.475,1.527801999,15.48000585,2589.89,508314.5,1
1.23,2.478549891,16.53869278,1942.04,448238.73,0
1.285,1.527801999,15.48000585,2589.89,508314.5,1
1.6575,3.326873264,15.56233133,4026,594058.49,1
1.336666667,2.880187558,15.60503631,4767.2,771361.25,1
2.1775,2.623295278,15.39917584,9329.6,1492976.59,2
1.423333333,2.478549891,16.53869278,1942.04,448238.73,1
1.33,1.527801999,15.48000585,2589.89,508314.5,1
1.346666667,2.478549891,16.53869278,1942.04,448238.73,1
1.48,1.527801999,15.48000585,2589.89,508314.5,1
0.79,2.551234811,16.17815293,2549.88,487735.95,0
1.31,1.776274836,15.11746058,3683.34,724654.24,1
0.74,2.551234811,16.17815293,2549.88,487735.95,0
1.55,1.776274836,15.11746058,3683.34,724654.24,1
0.91,2.551234811,16.17815293,2549.88,487735.95,0
1.55,1.776274836,15.11746058,3683.34,724654.24,1
0.78,2.551234811,16.17815293,2549.88,487735.95,0
1.31,1.776274836,15.11746058,3683.34,724654.24,1
1.42,1.345687315,12.45681439,6160.62,1056650.65,1
1.5475,4.032111034,16.06333101,7281.4,1039989.14,1
1.175,3.591394938,16.21538159,9273.53,1491423.95,0
1.175,3.310964275,15.92845371,2899.39,580373.55,0
1.51,1.345687315,12.45681439,6160.62,1056650.65,1
1.026666667,1.439452116,13.5460645,5665.98,1105412.81,0
1.4675,4.032111034,16.06333101,7281.4,1039989.14,1
1.64,1.345687315,12.45681439,6160.62,1056650.65,1
1.273333333,3.662923851,16.45992748,2602.98,399860.42,1
1.5125,4.032111034,16.06333101,7281.4,1039989.14,1
1.07,1.439452116,13.5460645,5665.98,1105412.81,0
1.4325,4.032111034,16.06333101,7281.4,1039989.14,1
1.203333333,2.96085018,15.52055799,2209.6,443157.71,0
1.336666667,1.438619204,13.52741199,4268.57,781236.14,1
1.0525,3.591394938,16.21538159,9273.53,1491423.95,0
1.0525,3.310964275,15.92845371,2899.39,580373.55,0
1.356666667,3.662923851,16.45992748,2602.98,399860.42,1
1.1025,3.591394938,16.21538159,9273.53,1491423.95,0
0.825,2.551234811,16.17815293,2549.88,487735.95,0
1.1025,3.310964275,15.92845371,2899.39,580373.55,0
1.266666667,2.96085018,15.52055799,2209.6,443157.71,1
1.235,1.776274836,15.11746058,3683.34,724654.24,0
1.296666667,1.438619204,13.52741199,4268.57,781236.14,1
1.1575,3.591394938,16.21538159,9273.53,1491423.95,0
1.1575,3.310964275,15.92845371,2899.39,580373.55,0
1.366666667,1.201610025,13.20238505,4520.92,767813.57,1
1.095,0.249995175,12.27685794,4209.58,720619.2,0
1.496666667,1.201610025,13.20238505,4520.92,767813.57,1
1.085,0.249995175,12.27685794,4209.58,720619.2,0
1.396666667,2.478549891,16.53869278,1942.04,448238.73,1
1.535,1.527801999,15.48000585,2589.89,508314.5,1
1.343333333,0.622666854,12.77145179,2699.04,415687.5,1
2.59,3.356254449,15.04596884,4927.31,568223.75,2
0.953333333,0.659758311,12.15662455,5039.01,746081.7,0
1.65,2.750785519,14.51573123,8891.55,1023645.28,1
0.913333333,0.29421894,11.65794382,7350.07,1076901.18,0
1.493333333,1.555151074,12.7932264,3003.58,401500.63,1
1.573333333,3.061676727,16.83861649,2759.31,391732.39,1
1.1175,3.943957246,16.40337541,7223.81,1026752.66,0
1.9225,3.248629719,15.6710047,10868.15,1515468.66,2
1.6775,3.607578698,16.45076001,4320.03,589529.46,2
1.74,2.977616548,15.74789835,5426.99,762918.99,2
1.153333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.4975,4.032111034,16.06333101,7281.4,1039989.14,1
1.145,3.591394938,16.21538159,9273.53,1491423.95,0
1.145,3.310964275,15.92845371,2899.39,580373.55,0
1.236666667,2.96085018,15.52055799,2209.6,443157.71,0
1.326666667,1.438619204,13.52741199,4268.57,781236.14,1
1.06,1.439452116,13.5460645,5665.98,1105412.81,0
1.765,3.326873264,15.56233133,4026,594058.49,2
1.446666667,2.880187558,15.60503631,4767.2,771361.25,1
2.285,2.623295278,15.39917584,9329.6,1492976.59,2
1.5825,3.607578698,16.45076001,4320.03,589529.46,1
1.896666667,2.977616548,15.74789835,5426.99,762918.99,2
1.766666667,2.778061756,14.72956264,2940.94,424374.67,2
1.243333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.31,2.288574538,13.99293568,4458.14,739087.28,1
1.2475,1.91720147,13.66144478,8956.75,1448202.96,1
0.526666667,2.88299789,14.95657328,2064.15,419077.34,0
1.23,1.420974834,13.38907371,2462.21,486945.56,0
1.493333333,1.339418615,13.37147729,5227.48,1092756.38,1
1.136666667,2.478549891,16.53869278,1942.04,448238.73,0
1.23,1.527801999,15.48000585,2589.89,508314.5,0
1.266666667,2.96085018,15.52055799,2209.6,443157.71,1
1.316666667,1.438619204,13.52741199,4268.57,781236.14,1
1.106666667,1.439452116,13.5460645,5665.98,1105412.81,0
1.25,2.96085018,15.52055799,2209.6,443157.71,1
1.356666667,1.438619204,13.52741199,4268.57,781236.14,1
1.1,1.439452116,13.5460645,5665.98,1105412.81,0
1.19,3.662923851,16.45992748,2602.98,399860.42,0
0.805,2.551234811,16.17815293,2549.88,487735.95,0
1.585,3.326873264,15.56233133,4026,594058.49,1
1.31,1.776274836,15.11746058,3683.34,724654.24,1
1.263333333,2.880187558,15.60503631,4767.2,771361.25,1
0.523333333,2.88299789,14.95657328,2064.15,419077.34,0
1.95,2.623295278,15.39917584,9329.6,1492976.59,2
1.19,1.420974834,13.38907371,2462.21,486945.56,0
1.35,1.339418615,13.37147729,5227.48,1092756.38,1
2.5775,3.356254449,15.04596884,4927.31,568223.75,2
1.5125,2.750785519,14.51573123,8891.55,1023645.28,1
1.5825,3.607578698,16.45076001,4320.03,589529.46,1
1.683333333,2.977616548,15.74789835,5426.99,762918.99,2
1.296666667,3.016331711,15.80458819,5420.95,1083330.58,1
2.216666667,1.560594971,15.35378818,5749.1,1109941.17,2
1.185,0.568419365,14.19299598,2702.11,500521.2,0
2.556666667,0.647127941,13.68111164,6753.96,1090064.9,2
3,3.374076464,15.72111539,3126.25,430095.61,2
1.9275,2.309735594,14.7785379,7132.56,1021534.34,2
1.9575,2.314448466,14.38057176,11113.79,1488887.99,2
1.69,3.607578698,16.45076001,4320.03,589529.46,2
1.846666667,2.977616548,15.74789835,5426.99,762918.99,2
1.41,3.016331711,15.80458819,5420.95,1083330.58,1
1.643333333,3.061676727,16.83861649,2759.31,391732.39,1
1.1525,3.943957246,16.40337541,7223.81,1026752.66,0
2.0075,3.248629719,15.6710047,10868.15,1515468.66,2
2.336666667,1.560594971,15.35378818,5749.1,1109941.17,2
1.15,0.568419365,14.19299598,2702.11,500521.2,0
2.563333333,0.647127941,13.68111164,6753.96,1090064.9,2
2.4625,3.356254449,15.04596884,4927.31,568223.75,2
1.3875,2.750785519,14.51573123,8891.55,1023645.28,1
1.55,3.607578698,16.45076001,4320.03,589529.46,1
1.686666667,2.977616548,15.74789835,5426.99,762918.99,2
1.203333333,3.016331711,15.80458819,5420.95,1083330.58,0
3.096666667,3.374076464,15.72111539,3126.25,430095.61,2
2.1025,2.309735594,14.7785379,7132.56,1021534.34,2
2.0275,2.314448466,14.38057176,11113.79,1488887.99,2
1.15,3.591394938,16.21538159,9273.53,1491423.95,0
0.785,2.551234811,16.17815293,2549.88,487735.95,0
1.15,3.310964275,15.92845371,2899.39,580373.55,0
1.31,2.96085018,15.52055799,2209.6,443157.71,1
1.43,1.776274836,15.11746058,3683.34,724654.24,1
1.393333333,1.438619204,13.52741199,4268.57,781236.14,1
1.1125,3.591394938,16.21538159,9273.53,1491423.95,0
1.1125,3.310964275,15.92845371,2899.39,580373.55,0
1.283333333,2.96085018,15.52055799,2209.6,443157.71,1
1.5325,3.326873264,15.56233133,4026,594058.49,1
1.37,1.438619204,13.52741199,4268.57,781236.14,1
1.186666667,2.880187558,15.60503631,4767.2,771361.25,0
1.066666667,1.439452116,13.5460645,5665.98,1105412.81,0
1.273333333,0.622666854,12.77145179,2699.04,415687.5,1
0.826666667,0.659758311,12.15662455,5039.01,746081.7,0
0.82,0.29421894,11.65794382,7350.07,1076901.18,0
1.333333333,2.96085018,15.52055799,2209.6,443157.71,1
1.6875,3.326873264,15.56233133,4026,594058.49,2
1.506666667,1.438619204,13.52741199,4268.57,781236.14,1
1.316666667,2.880187558,15.60503631,4767.2,771361.25,1
1.72,3.061676727,16.83861649,2759.31,391732.39,2
1.36,3.943957246,16.40337541,7223.81,1026752.66,1
2.165,3.248629719,15.6710047,10868.15,1515468.66,2
2.473333333,1.560594971,15.35378818,5749.1,1109941.17,2
1.363333333,1.201610025,13.20238505,4520.92,767813.57,1
1.48,0.568419365,14.19299598,2702.11,500521.2,1
1.13,0.249995175,12.27685794,4209.58,720619.2,0
2.553333333,0.647127941,13.68111164,6753.96,1090064.9,2
2.325,3.805881943,15.32970153,2995.51,532397.2,2
2.1475,2.927414332,14.42807294,5688.72,988078.64,2
1.663333333,2.778061756,14.72956264,2940.94,424374.67,1
1.223333333,2.288574538,13.99293568,4458.14,739087.28,0
1.14,1.91720147,13.66144478,8956.75,1448202.96,0
1.65,3.326873264,15.56233133,4026,594058.49,1
1.32,2.880187558,15.60503631,4767.2,771361.25,1
2.1475,2.623295278,15.39917584,9329.6,1492976.59,2
1.303333333,2.96085018,15.52055799,2209.6,443157.71,1
1.366666667,1.438619204,13.52741199,4268.57,781236.14,1
1.05,1.439452116,13.5460645,5665.98,1105412.81,0
1.853333333,4.018509994,16.85328339,3420.49,463179,2
1.236666667,2.478549891,16.53869278,1942.04,448238.73,0
1.646666667,2.977616548,15.74789835,5426.99,762918.99,1
1.335,1.527801999,15.48000585,2589.89,508314.5,1
1.143333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.32,3.662923851,16.45992748,2602.98,399860.42,1
0.875,2.551234811,16.17815293,2549.88,487735.95,0
1.655,3.326873264,15.56233133,4026,594058.49,1
1.52,1.776274836,15.11746058,3683.34,724654.24,1
1.306666667,2.880187558,15.60503631,4767.2,771361.25,1
0.456666667,2.88299789,14.95657328,2064.15,419077.34,0
2.005,2.623295278,15.39917584,9329.6,1492976.59,2
1.16,1.420974834,13.38907371,2462.21,486945.56,0
1.38,1.339418615,13.37147729,5227.48,1092756.38,1
1.59,1.345687315,12.45681439,6160.62,1056650.65,1
1.393333333,3.662923851,16.45992748,2602.98,399860.42,1
0.795,2.551234811,16.17815293,2549.88,487735.95,0
1.6325,3.326873264,15.56233133,4026,594058.49,1
1.38,1.776274836,15.11746058,3683.34,724654.24,1
1.293333333,2.880187558,15.60503631,4767.2,771361.25,1
0.53,2.88299789,14.95657328,2064.15,419077.34,0
1.9675,2.623295278,15.39917584,9329.6,1492976.59,2
1.15,1.420974834,13.38907371,2462.21,486945.56,0
1.53,3.607578698,16.45076001,4320.03,589529.46,1
1.296666667,2.478549891,16.53869278,1942.04,448238.73,1
1.35,1.339418615,13.37147729,5227.48,1092756.38,1
1.756666667,2.977616548,15.74789835,5426.99,762918.99,2
1.395,1.527801999,15.48000585,2589.89,508314.5,1
1.16,3.016331711,15.80458819,5420.95,1083330.58,0
0.6,2.88299789,14.95657328,2064.15,419077.34,0
1.265,1.420974834,13.38907371,2462.21,486945.56,1
1.35,2.478549891,16.53869278,1942.04,448238.73,1
1.49,1.527801999,15.48000585,2589.89,508314.5,1
1.28,2.478549891,16.53869278,1942.04,448238.73,1
1.455,1.527801999,15.48000585,2589.89,508314.5,1
1.73,2.778061756,14.72956264,2940.94,424374.67,2
1.323333333,2.288574538,13.99293568,4458.14,739087.28,1
1.2125,1.91720147,13.66144478,8956.75,1448202.96,0
1.49,1.339418615,13.37147729,5227.48,1092756.38,1
1.4775,3.607578698,16.45076001,4320.03,589529.46,1
1.7,2.977616548,15.74789835,5426.99,762918.99,2
1.2,3.016331711,15.80458819,5420.95,1083330.58,0
1.4425,4.032111034,16.06333101,7281.4,1039989.14,1
1.366666667,3.662923851,16.45992748,2602.98,399860.42,1
1.5,1.345687315,12.45681439,6160.62,1056650.65,1
1.5525,4.032111034,16.06333101,7281.4,1039989.14,1
1.593333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.45,4.032111034,16.06333101,7281.4,1039989.14,1
1.065,3.591394938,16.21538159,9273.53,1491423.95,0
1.065,3.310964275,15.92845371,2899.39,580373.55,0
1.663333333,3.061676727,16.83861649,2759.31,391732.39,1
1.2225,3.943957246,16.40337541,7223.81,1026752.66,0
1.9,3.248629719,15.6710047,10868.15,1515468.66,2
1.4,1.560594971,15.35378818,5749.1,1109941.17,1
1.64,2.977616548,15.74789835,5426.99,762918.99,1
1.13,3.016331711,15.80458819,5420.95,1083330.58,0
1.5275,3.607578698,16.45076001,4320.03,589529.46,1
1.343333333,2.478549891,16.53869278,1942.04,448238.73,1
1.475,1.527801999,15.48000585,2589.89,508314.5,1
1.61,2.368443049,16.09306567,3957.57,766959.08,1
1.44,1.560594971,15.35378818,5749.1,1109941.17,1
2.376666667,1.560594971,15.35378818,5749.1,1109941.17,2
1.24,0.568419365,14.19299598,2702.11,500521.2,0
2.59,0.647127941,13.68111164,6753.96,1090064.9,2
1.2,2.96085018,15.52055799,2209.6,443157.71,0
1.4475,3.326873264,15.56233133,4026,594058.49,1
1.28,1.438619204,13.52741199,4268.57,781236.14,1
1.14,2.880187558,15.60503631,4767.2,771361.25,0
1.07,1.439452116,13.5460645,5665.98,1105412.81,0
1.7825,2.623295278,15.39917584,9329.6,1492976.59,2
1.413333333,1.345687315,12.45681439,6160.62,1056650.65,1
1.44,2.368443049,16.09306567,3957.57,766959.08,1
1.35,1.560594971,15.35378818,5749.1,1109941.17,1
1.506666667,0.622666854,12.77145179,2699.04,415687.5,1
2.555,3.356254449,15.04596884,4927.31,568223.75,2
0.95,0.659758311,12.15662455,5039.01,746081.7,0
1.4725,2.750785519,14.51573123,8891.55,1023645.28,1
0.976666667,0.29421894,11.65794382,7350.07,1076901.18,0
1.243333333,2.96085018,15.52055799,2209.6,443157.71,0
1.43,1.438619204,13.52741199,4268.57,781236.14,1
1.17,1.439452116,13.5460645,5665.98,1105412.81,0
0.543333333,2.88299789,14.95657328,2064.15,419077.34,0
1.19,1.420974834,13.38907371,2462.21,486945.56,0
1.436666667,1.339418615,13.37147729,5227.48,1092756.38,1
1.436666667,3.662923851,16.45992748,2602.98,399860.42,1
1.515,1.776274836,15.11746058,3683.34,724654.24,1
1.666666667,3.061676727,16.83861649,2759.31,391732.39,1
1.1675,3.943957246,16.40337541,7223.81,1026752.66,0
1.96,3.248629719,15.6710047,10868.15,1515468.66,2
1.4275,3.326873264,15.56233133,4026,594058.49,1
1.06,2.880187558,15.60503631,4767.2,771361.25,0
0.49,2.88299789,14.95657328,2064.15,419077.34,0
1.6925,2.623295278,15.39917584,9329.6,1492976.59,2
1.175,1.420974834,13.38907371,2462.21,486945.56,0
1.29,2.478549891,16.53869278,1942.04,448238.73,1
1.323333333,1.339418615,13.37147729,5227.48,1092756.38,1
