,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
49,Georgia,Athens,10/10/2007,BaraWet 501,6/26/2009,177,1.45,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,89.35714286,,5
154,Georgia,Athens,10/10/2007,Hybri Force 700,6/16/2010,167,1.43,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,86.26885246,,5
149,Georgia,Athens,10/10/2007,Bulldog 805,6/16/2010,167,1.42,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,72.72131148,,5
395,Georgia,Tifton,2/21/2008,BaraWet 501,5/6/2010,126,1.42,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,84.96315789,,5
120,Georgia,Athens,10/10/2007,Phoenix,7/13/2010,194,1.41,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,74.32814208,,5
134,Georgia,Athens,10/10/2007,Bara 503,6/16/2010,167,1.41,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,76.43715847,,5
312,Georgia,Tifton,2/21/2008,GA-505,6/17/2009,168,1.41,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,5
139,Georgia,Athens,10/10/2007,TS 4010,6/16/2010,167,1.39,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,70.48196721,,4
306,Georgia,Tifton,2/21/2008,Attention II,7/30/2009,211,1.38,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
414,Georgia,Tifton,2/21/2008,Bara 503,6/20/2010,171,1.38,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,71.2173913,,4
48,Georgia,Athens,10/10/2007,BaraWet 501,5/6/2009,126,1.37,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,89.76190476,,4
185,Georgia,Midville,11/1/2007,Hybri Force 600,7/23/2008,205,1.36,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
109,Georgia,Athens,10/10/2007,BaraWet 501,6/16/2010,167,1.35,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,84.63169399,,4
175,Georgia,Midville,11/1/2007,Bara 503,7/23/2008,205,1.35,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
173,Georgia,Midville,11/1/2007,Bara 503,5/6/2008,127,1.34,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
378,Georgia,Tifton,2/21/2008,TS 8031,6/20/2010,171,1.34,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,70.11304348,,4
74,Georgia,Athens,10/10/2007,Bara 503,6/26/2009,177,1.33,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,89.35714286,,4
371,Georgia,Tifton,2/21/2008,Attention II,5/6/2010,126,1.33,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,60.2194508,,4
58,Georgia,Athens,10/10/2007,CW 500,5/6/2009,126,1.32,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,89.52380952,,4
98,Georgia,Athens,10/10/2007,Hybri Force 600,5/6/2009,126,1.32,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,83.52380952,,4
313,Georgia,Tifton,2/21/2008,GA-505,7/30/2009,211,1.32,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
408,Georgia,Tifton,2/21/2008,PGI 909,6/20/2010,171,1.32,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,70.52173913,,4
53,Georgia,Athens,10/10/2007,GA-505,5/6/2009,126,1.31,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,85.11111111,,4
168,Georgia,Midville,11/1/2007,PGI 801,5/6/2008,127,1.31,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
255,Georgia,Tifton,2/21/2008,GA-505,9/10/2008,254,1.31,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,4
340,Georgia,Tifton,2/21/2008,Hybri Force 600,6/17/2009,168,1.31,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
50,Georgia,Athens,10/10/2007,BaraWet 501,8/6/2009,218,1.3,666,41,897.29,53.594,25.55829268,20.13487805,31.82756098,0.098097561,0,0,89.03174603,,4
259,Georgia,Tifton,2/21/2008,TS 8031,9/10/2008,254,1.3,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,4
291,Georgia,Tifton,2/21/2008,BaraWet 501,6/17/2009,168,1.3,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
366,Georgia,Tifton,2/21/2008,PGI 801,6/20/2010,171,1.3,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,73.89565217,,4
78,Georgia,Athens,10/10/2007,Attention II,5/6/2009,126,1.29,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,85.17460317,,4
88,Georgia,Athens,10/10/2007,Hybri Force 700,5/6/2009,126,1.29,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,94.34920635,,4
164,Georgia,Athens,10/10/2007,CW 35106,6/16/2010,167,1.29,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,67.65027322,,4
298,Georgia,Tifton,2/21/2008,PGI 801,6/17/2009,168,1.29,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
305,Georgia,Tifton,2/21/2008,Attention II,6/17/2009,168,1.29,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
377,Georgia,Tifton,2/21/2008,TS 8031,5/6/2010,126,1.29,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,71.47231121,,4
79,Georgia,Athens,10/10/2007,Attention II,6/26/2009,177,1.28,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,84.9047619,,4
83,Georgia,Athens,10/10/2007,Bulldog 805,5/6/2009,126,1.28,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,84.46031746,,4
159,Georgia,Athens,10/10/2007,Hybri Force 600,6/16/2010,167,1.28,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,75.92786885,,4
359,Georgia,Tifton,2/21/2008,Bulldog 805,5/6/2010,126,1.28,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,82.45560641,,4
63,Georgia,Athens,10/10/2007,Evermore,5/6/2009,126,1.27,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,84.58730159,,4
150,Georgia,Athens,10/10/2007,Bulldog 805,7/13/2010,194,1.27,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,71.94672131,,4
292,Georgia,Tifton,2/21/2008,BaraWet 501,7/30/2009,211,1.27,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
319,Georgia,Tifton,2/21/2008,Hybri Force 700,6/17/2009,168,1.27,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
360,Georgia,Tifton,2/21/2008,Bulldog 805,6/20/2010,171,1.27,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,82.32173913,,4
389,Georgia,Tifton,2/21/2008,Hybri Force 700,5/6/2010,126,1.27,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,77,,4
68,Georgia,Athens,10/10/2007,Phoenix,5/6/2009,126,1.26,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,82.46031746,,4
180,Georgia,Midville,11/1/2007,BaraWet 501,7/23/2008,205,1.26,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
326,Georgia,Tifton,2/21/2008,TS 8031,6/17/2009,168,1.26,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
334,Georgia,Tifton,2/21/2008,Bulldog 805,7/30/2009,211,1.26,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
59,Georgia,Athens,10/10/2007,CW 500,6/26/2009,177,1.25,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,88.71428571,,4
190,Georgia,Midville,11/1/2007,GA-505,7/23/2008,205,1.25,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
320,Georgia,Tifton,2/21/2008,Hybri Force 700,7/30/2009,211,1.25,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
327,Georgia,Tifton,2/21/2008,TS 8031,7/30/2009,211,1.24,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
54,Georgia,Athens,10/10/2007,GA-505,6/26/2009,177,1.23,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,84.16666667,,4
251,Georgia,Tifton,2/21/2008,Hybri Force 600,9/10/2008,254,1.23,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,4
390,Georgia,Tifton,2/21/2008,Hybri Force 700,6/20/2010,171,1.23,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,77,,4
40,Georgia,Athens,10/10/2007,Hybri Force 700,5/6/2008,127,1.22,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,4
69,Georgia,Athens,10/10/2007,Phoenix,6/26/2009,177,1.22,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,80.97619048,,4
355,Georgia,Tifton,2/21/2008,Bara 503,7/30/2009,211,1.22,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
145,Georgia,Athens,10/10/2007,Attention II,7/13/2010,194,1.21,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,83.88469945,,4
199,Georgia,Midville,11/1/2007,CW 36106,6/9/2008,161,1.21,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
203,Georgia,Midville,11/1/2007,Attention II,5/6/2008,127,1.21,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
263,Georgia,Tifton,2/21/2008,Hybri Force 700,9/10/2008,254,1.21,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,4
73,Georgia,Athens,10/10/2007,Bara 503,5/6/2009,126,1.2,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,89.76190476,,4
125,Georgia,Athens,10/10/2007,GA-505,7/13/2010,194,1.2,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,78.29043716,,4
169,Georgia,Midville,11/1/2007,PGI 801,6/9/2008,161,1.2,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
299,Georgia,Tifton,2/21/2008,PGI 801,7/30/2009,211,1.2,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
103,Georgia,Athens,10/10/2007,CW 35106,5/6/2009,126,1.19,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,90.11111111,,4
183,Georgia,Midville,11/1/2007,Hybri Force 600,5/6/2008,127,1.19,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
210,Georgia,Midville,11/1/2007,Hybri Force 700,7/23/2008,205,1.19,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
189,Georgia,Midville,11/1/2007,GA-505,6/9/2008,161,1.18,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
135,Georgia,Athens,10/10/2007,Bara 503,7/13/2010,194,1.17,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,74.74043716,,4
171,Georgia,Midville,11/1/2007,PGI 801,9/5/2008,249,1.17,309,44,873.37,171.966,26.09136364,21.6125,32.44886364,0.189909091,0,0,NA,,4
365,Georgia,Tifton,2/21/2008,PGI 801,5/6/2010,126,1.17,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,73.91624714,,4
195,Georgia,Midville,11/1/2007,Bulldog 805,7/23/2008,205,1.16,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
271,Georgia,Tifton,2/21/2008,Bulldog 805,9/10/2008,254,1.16,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,4
341,Georgia,Tifton,2/21/2008,Hybri Force 600,7/30/2009,211,1.16,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
64,Georgia,Athens,10/10/2007,Evermore,6/26/2009,177,1.15,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,84.45238095,,4
115,Georgia,Athens,10/10/2007,CW 500,7/13/2010,194,1.15,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,78.21721311,,4
198,Georgia,Midville,11/1/2007,CW 36106,5/6/2008,127,1.15,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
204,Georgia,Midville,11/1/2007,Attention II,6/9/2008,161,1.15,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
333,Georgia,Tifton,2/21/2008,Bulldog 805,6/17/2009,168,1.15,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
354,Georgia,Tifton,2/21/2008,Bara 503,6/17/2009,168,1.15,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
93,Georgia,Athens,10/10/2007,TS 4010,5/6/2009,126,1.14,574,151,871.67,236.224,15.3534,9.3272,21.4102,0.15866,0,1,87.6984127,,4
170,Georgia,Midville,11/1/2007,PGI 801,7/23/2008,205,1.14,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,4
179,Georgia,Midville,11/1/2007,BaraWet 501,6/9/2008,161,1.14,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
94,Georgia,Athens,10/10/2007,TS 4010,6/26/2009,177,1.13,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,86.61904762,,4
193,Georgia,Midville,11/1/2007,Bulldog 805,5/6/2008,127,1.13,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
44,Georgia,Athens,10/10/2007,CW 35106,5/6/2008,127,1.12,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,4
65,Georgia,Athens,10/10/2007,Evermore,8/6/2009,218,1.12,666,41,897.29,53.594,25.55829268,20.13487805,31.82756098,0.098097561,0,0,84.34391534,,4
155,Georgia,Athens,10/10/2007,Hybri Force 700,7/13/2010,194,1.12,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,85.42786885,,4
165,Georgia,Athens,10/10/2007,CW 35106,7/13/2010,194,1.12,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,64.95765027,,4
310,Georgia,Tifton,2/21/2008,GA-505,4/7/2009,97,1.12,411,146,814.55,402.9,14.1446,8.7024,20.0602,0.16648,0,1,NA,,4
347,Georgia,Tifton,2/21/2008,PGI 909,6/17/2009,168,1.12,482,41,818.95,170.686,23.79317073,19.56804878,29.00121951,0.166853659,0,0,NA,,4
57,Georgia,Athens,10/10/2007,GA-505,10/22/2009,295,1.11,743,44,521.47,447.78,18.54113636,14.44659091,23.55113636,0.162522727,0,0,81.98148148,,4
130,Georgia,Athens,10/10/2007,Evermore,7/13/2010,194,1.11,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,73.79590164,,4
181,Georgia,Midville,11/1/2007,BaraWet 501,9/5/2008,249,1.1,309,44,873.37,171.966,26.09136364,21.6125,32.44886364,0.189909091,0,0,NA,,4
184,Georgia,Midville,11/1/2007,Hybri Force 600,6/9/2008,161,1.1,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,4
348,Georgia,Tifton,2/21/2008,PGI 909,7/30/2009,211,1.1,525,43,1014.1,175.77,26.90860465,22.19534884,32.54325581,0.110348837,0,0,NA,,4
188,Georgia,Midville,11/1/2007,GA-505,5/6/2008,127,1.09,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,4
52,Georgia,Athens,10/10/2007,BaraWet 501,10/22/2009,295,1.08,743,44,521.47,447.78,18.54113636,14.44659091,23.55113636,0.162522727,0,0,88.42063492,,3
61,Georgia,Athens,10/10/2007,CW 500,9/8/2009,251,1.08,699,33,611.29,99.826,24.33060606,19.49272727,30.24545455,0.116666667,0,0,87.53968254,,3
110,Georgia,Athens,10/10/2007,BaraWet 501,7/13/2010,194,1.08,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,84.13743169,,3
283,Georgia,Tifton,2/21/2008,Bara 503,9/10/2008,254,1.08,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,3
324,Georgia,Tifton,2/21/2008,TS 8031,4/7/2009,97,1.08,411,146,814.55,402.9,14.1446,8.7024,20.0602,0.16648,0,1,NA,,3
407,Georgia,Tifton,2/21/2008,PGI 909,5/6/2010,126,1.08,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,72.78718535,,3
200,Georgia,Midville,11/1/2007,CW 36106,7/23/2008,205,1.07,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,3
51,Georgia,Athens,10/10/2007,BaraWet 501,9/8/2009,251,1.06,699,33,611.29,99.826,24.33060606,19.49272727,30.24545455,0.116666667,0,0,88.76984127,,3
208,Georgia,Midville,11/1/2007,Hybri Force 700,5/6/2008,127,1.06,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,3
303,Georgia,Tifton,2/21/2008,Attention II,4/7/2009,97,1.06,411,146,814.55,402.9,14.1446,8.7024,20.0602,0.16648,0,1,NA,,3
87,Georgia,Athens,10/10/2007,Bulldog 805,10/22/2009,295,1.05,743,44,521.47,447.78,18.54113636,14.44659091,23.55113636,0.162522727,0,0,79.54232804,,3
91,Georgia,Athens,10/10/2007,Hybri Force 700,9/8/2009,251,1.05,699,33,611.29,99.826,24.33060606,19.49272727,30.24545455,0.116666667,0,0,93.02645503,,3
92,Georgia,Athens,10/10/2007,Hybri Force 700,10/22/2009,295,1.05,743,44,521.47,447.78,18.54113636,14.44659091,23.55113636,0.162522727,0,0,92.56084656,,3
178,Georgia,Midville,11/1/2007,BaraWet 501,5/6/2008,127,1.05,187,187,1001.01,147.574,16.5908,10.177,23.4432,0.20836,0,1,NA,,3
209,Georgia,Midville,11/1/2007,Hybri Force 700,6/9/2008,161,1.05,221,34,848.77,92.72,23.67147059,17.56764706,30.27588235,0.206176471,0,0,NA,,3
279,Georgia,Tifton,2/21/2008,BaraWet 501,9/10/2008,254,1.05,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,3
82,Georgia,Athens,10/10/2007,Attention II,10/22/2009,295,1.04,743,44,521.47,447.78,18.54113636,14.44659091,23.55113636,0.162522727,0,0,84.28042328,,3
160,Georgia,Athens,10/10/2007,Hybri Force 600,7/13/2010,194,1.04,1007,27,614.49,148.828,26.49259259,21.29185185,32.63814815,0.143888889,0,0,75.33032787,,3
196,Georgia,Midville,11/1/2007,Bulldog 805,9/5/2008,249,1.04,309,44,873.37,171.966,26.09136364,21.6125,32.44886364,0.189909091,0,0,NA,,3
205,Georgia,Midville,11/1/2007,Attention II,7/23/2008,205,1.04,265,44,1050.64,117.354,26.37795455,20.74068182,33.53659091,0.160363636,0,0,NA,,3
99,Georgia,Athens,10/10/2007,Hybri Force 600,6/26/2009,177,1.03,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,82.71428571,,3
176,Georgia,Midville,11/1/2007,Bara 503,9/5/2008,249,1.03,309,44,873.37,171.966,26.09136364,21.6125,32.44886364,0.189909091,0,0,NA,,3
267,Georgia,Tifton,2/21/2008,PGI 801,9/10/2008,254,1.03,202,42,796.16,313.892,25.73333333,21.86714286,30.93047619,0.122833333,1,0,NA,,3
55,Georgia,Athens,10/10/2007,GA-505,8/6/2009,218,1.02,666,41,897.29,53.594,25.55829268,20.13487805,31.82756098,0.098097561,0,0,83.40740741,,3
289,Georgia,Tifton,2/21/2008,BaraWet 501,4/7/2009,97,1.02,411,146,814.55,402.9,14.1446,8.7024,20.0602,0.16648,0,1,NA,,3
60,Georgia,Athens,10/10/2007,CW 500,8/6/2009,218,1.01,666,41,897.29,53.594,25.55829268,20.13487805,31.82756098,0.098097561,0,0,88.06349206,,3
84,Georgia,Athens,10/10/2007,Bulldog 805,6/26/2009,177,1.01,625,51,1013.91,88.134,23.1086,18.148,29.072,0.1306,0,0,82.97619048,,3
