,id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
41,41,226,6.03,655,96,3400.1,1323.896,20.58125727,15.692692999999998,28.20592563,0.116674048
42,42,329,3.49,272,21,3400.1,1323.896,23.13502517,18.43894762,28.97564059,0.116674048
43,43,235,3.07,496,82,3400.1,1323.896,21.03317363,18.43894762,28.04386495,0.1822656263479728
44,44,335,2.27,632,390,4616.79,882.062,22.89775306,17.470405368448425,29.26207143,0.116674048
45,45,290,4.99,655,53,3905.36,807.771,22.31764585,16.840089003956628,28.14405359,0.18153739013753165
46,46,311,4.38,264,0,3682.73,859.408,22.03060335,18.43894762,29.26207143,0.116674048
47,47,249,5.08,264,231,3400.1,811.655,20.58971758,16.514694135380502,27.15949548,0.19128837399999998
48,48,294,6.03,330,0,3719.2,836.731,20.58125727,16.483107855825864,29.26207143,0.17987389524023092
49,49,329,2.27,655,0,5050.29,889.981,23.26311756,18.43894762,26.19026488,0.116674048
50,50,302,3.55,552,29,3400.1,1323.896,20.73444323,15.732024531160919,27.97032655,0.116674048
51,51,226,3.33,655,141,3985.52,1323.896,22.52344313,18.43894762,28.02588552,0.16909882542322896
52,52,318,2.27,264,173,4585.83,764.628,20.86187352,17.802348859808802,26.85110818,0.17842775862438168
53,53,326,3.26,566,16,4309.26,1323.896,23.32767857,16.09577630109116,28.15984138,0.1639175080253158
54,54,326,2.3,553,390,4451.29,749.242,23.32767857,16.254395551079487,28.41861151,0.116674048
55,55,323,3.15,411,175,3400.1,1323.896,20.59150133,16.34888190276903,28.3906031,0.17875329958230318
56,56,273,4.75,655,269,5297.8,799.489,20.58125727,16.059741532369596,29.26207143,0.12988900207330095
57,57,331,2.27,406,275,5320.75,815.804,22.48218179,15.692692999999998,27.47782721,0.14070817542824643
58,58,245,2.91,264,121,3546.79,1323.896,20.97113195,18.43894762,27.45104871,0.19128837399999998
59,59,331,6.03,554,146,5320.75,1323.896,20.86901932,18.43894762,29.26207143,0.17656378456149222
60,60,328,2.27,264,299,3400.1,1323.896,21.02053335,16.329942274076387,26.19026488,0.18391941934627293
61,61,301,2.27,627,0,3400.1,1323.896,23.32767857,18.43894762,28.72199795,0.1515069336543628
62,62,255,2.27,494,0,3400.1,1323.896,21.82977191,15.803161160518293,28.27353658,0.15957318585510638
63,63,232,2.33,655,17,3400.1,778.728,23.32767857,18.04100734157642,29.26207143,0.16370527570208065
64,64,226,2.27,655,68,4264.37,1152.075,22.0920594,17.919765997587398,29.26207143,0.1824847240413165
65,65,339,4.84,520,28,5320.75,1323.896,23.32767857,18.43894762,29.26207143,0.1474043904333011
66,66,298,2.27,264,390,3400.1,1323.896,22.39267846,18.43894762,29.26207143,0.19128837399999998
67,67,308,3.47,655,0,3400.1,850.544,21.51614598,16.009815670747393,27.7497569,0.14745992341619357
68,68,279,3.03,290,275,3557.2,788.25,20.93728927,18.397361484503758,29.01103648,0.16890060176679134
69,69,228,4.58,264,241,3400.1,1323.896,23.12327892,16.091004652074243,29.26207143,0.116674048
70,70,341,3.09,264,287,3592.94,994.796,22.15518315,16.161395169440773,26.53118337,0.116674048
71,71,295,3.56,274,145,3400.1,1323.896,22.39650708,15.692692999999998,28.4570864,0.116674048
72,72,341,4.9,591,125,3400.1,1323.896,21.00927445,16.084229299737327,29.26207143,0.1693024952734965
73,73,315,2.27,264,0,4337.51,1323.896,23.32767857,15.692692999999998,27.80549712,0.12991461924414885
74,74,327,3.34,264,346,3847.66,1323.896,23.32767857,16.209493409972374,28.02917209,0.17471285043443244
75,75,239,6.03,653,0,4898.32,941.621,23.32767857,18.43894762,27.48931521,0.17851354967232608
76,76,250,2.27,274,389,4394.76,969.66,22.06612906,17.662018521718146,28.64091016,0.116674048
77,77,226,6.03,289,6,3411.99,1323.896,20.80829798,18.43894762,26.67208911,0.19128837399999998
78,78,309,4.13,546,34,3400.1,1323.896,23.32767857,16.554280715888417,29.26207143,0.15334687764530658
79,79,341,3.63,544,390,3400.1,1323.896,22.87170623,15.977375068157984,27.94350612,0.16926877935080425
80,80,307,2.27,313,0,3400.1,841.189,21.00719414,16.322296522895268,27.66101841,0.12359379946812812
81,81,226,2.27,563,77,3400.1,1323.896,23.32767857,15.692692999999998,26.90798605,0.15016069814904204
82,82,309,6.03,264,0,3839.16,1323.896,21.50230037,16.68439009914044,26.19026488,0.18480881795896945
83,83,226,4.41,352,0,5173.06,1323.896,22.36315336,16.527224767807333,28.10375891,0.16702794413956332
84,84,226,4.17,406,78,4028.75,816.73,20.68063492,16.11453193993992,27.0723363,0.116674048
85,85,327,2.27,635,0,3400.1,884.567,20.58125727,15.781282575195833,28.30960267,0.116674048
86,86,310,2.42,360,311,4324.72,1323.896,23.22495055,17.52508486225721,27.55413758,0.16987819282980143
87,87,270,5.55,655,35,4176.97,918.375,20.97200481,16.806717628036715,27.66727638,0.1328997999822526
88,88,323,5.97,655,70,5117.27,599.974,22.71505358,18.43894762,29.26207143,0.15580973293380185
89,89,226,5.67,264,390,3413.85,912.059,22.73710292,15.969716348088207,29.26207143,0.17041133041653567
90,90,302,6.03,383,390,3400.1,642.697,22.49757188,18.43894762,29.26207143,0.168139127974152
91,91,316,4.08,589,126,5320.75,1323.896,21.16558796,15.880001652932323,29.26207143,0.116674048
92,92,255,5.92,547,0,3400.1,1323.896,21.80248221,17.271288064269765,27.56130371,0.16221587226401923
93,93,226,2.73,600,59,3715.87,607.578,21.05338774,18.43894762,29.26207143,0.116674048
94,94,291,2.27,623,0,3400.1,799.972,21.39603606,16.590531265269025,27.77467915,0.17371295083944974
95,95,341,5.15,267,129,3400.1,1323.896,20.58125727,17.768505916705497,29.26207143,0.1510817512132597
96,96,226,3.69,264,59,4293.99,755.089,21.22587804,16.560400147137916,26.19026488,0.18744792898102414
97,97,341,4.1,333,390,3400.1,1323.896,22.03640602,17.2541961797597,26.19026488,0.13394030571373597
98,98,228,2.27,512,70,4420.95,920.532,20.58125727,18.138032427052416,28.20956834,0.12845271366385952
99,99,332,5.71,612,0,3400.1,1323.896,21.64468347,16.613287956603678,28.61820233,0.19128837399999998
100,100,239,5.47,264,367,4240.08,1323.896,21.84857247,16.38083026888429,28.12446504,0.19128837399999998
101,101,296,5.45,264,331,3956.15,1323.896,20.58125727,15.833537469821412,28.38416083,0.15092172261718662
102,102,310,2.27,286,170,4825.37,817.744,21.05785301,15.692692999999998,28.10644101,0.161865559304557
103,103,323,2.91,324,266,5298.02,1323.896,21.35554591,18.43894762,26.44073832,0.17291736156596185
104,104,316,5.75,347,314,4358.94,1323.896,22.62991076,16.882822113469164,29.26207143,0.16866182563146348
105,105,322,2.27,649,390,3590.51,1188.41,22.66846881,16.37661620190107,28.89368439,0.16012464551019148
106,106,341,4.39,575,156,3400.1,1323.896,21.38315496,16.133870557394136,27.99531465,0.15820948693158454
107,107,341,5.43,317,209,3400.1,1323.896,23.32767857,16.551788323997343,28.81409771,0.116674048
108,108,282,3.97,655,0,3400.1,1323.896,21.1486609,18.43894762,29.26207143,0.116674048
109,109,312,2.99,546,217,3431.06,710.281,21.15870102,16.147708702351363,29.26207143,0.13209557602811772
110,110,226,2.27,430,331,3400.1,1315.17,21.67505975,15.692692999999998,27.12964995,0.116674048
111,111,320,2.94,264,390,5320.75,956.849,22.56823786,16.597741245755515,28.22062058,0.16513008783571306
112,112,280,5.38,655,0,3400.1,909.071,21.20174519,16.653955184291398,28.70748241,0.14730601194563617
113,113,299,2.27,610,0,3604.37,1108.529,21.05793259,18.43894762,28.25694947,0.1673882537023266
114,114,331,2.27,625,310,4146.65,837.133,20.58125727,16.317719768011926,27.97737405,0.18004214002875674
115,115,235,2.9,264,0,3507.39,1323.896,22.81292145,15.901314838181126,27.99118799,0.116674048
116,116,328,4.04,320,160,3818.5,739.27,22.36051373,15.692692999999998,28.61258109,0.18373921058440063
117,117,297,2.97,334,0,4404.53,1323.896,20.58125727,18.43894762,26.74535051,0.18181206475809383
118,118,297,2.98,642,68,4707.28,802.025,23.32767857,18.43894762,27.39150475,0.11854685361065215
119,119,341,2.27,264,126,3400.1,872.108,20.82057817,17.780439166496524,28.26334552,0.116674048
120,120,341,4.21,264,337,3400.1,934.677,22.69662805,16.279380285458807,27.68683973,0.19128837399999998
121,121,304,3.53,625,254,5320.75,1321.124,23.14515607,17.529433202120217,28.99624107,0.15338373319005136
122,122,321,2.27,655,0,4943.41,824.956,20.58125727,17.845638703450245,29.26207143,0.15205492317069494
123,123,241,2.27,554,155,3400.1,1323.896,21.78772864,18.252106959269152,29.08795865,0.116674048
124,124,285,2.45,609,6,3400.1,1323.896,20.99970376,17.37377994488217,28.37583713,0.116674048
125,125,341,2.27,487,81,3400.1,1323.896,20.58125727,16.068885921820456,27.95811727,0.116674048
126,126,330,5.23,655,390,3400.1,1236.712,23.01138421,17.633761055224802,26.28161468,0.116674048
127,127,313,2.27,264,70,5320.75,1314.887,23.32767857,15.776919305859096,29.26207143,0.15225658844814643
128,128,226,4.56,446,279,3400.1,1323.896,22.07748838,16.37862856450994,28.88308308,0.16605072948105581
129,129,255,2.52,264,139,3400.1,1323.896,20.78292002,16.236828860655386,28.56030841,0.116674048
130,130,341,6.03,264,216,3927.46,1323.896,21.57818277,18.43894762,27.92420772,0.13642448594254267
131,131,315,3.38,655,0,4776.58,1323.896,23.32767857,18.43894762,28.29954593,0.116674048
132,132,338,2.27,597,390,3400.1,1323.896,21.45775952,16.377359858422263,27.50771397,0.12359285296049265
133,133,290,4.52,269,0,3400.1,867.098,22.29356442,18.43894762,28.23197794,0.16644272850971256
134,134,226,5.78,264,120,4663.52,806.517,20.86122501,16.281746315875225,29.26207143,0.116674048
135,135,341,2.27,650,94,3400.1,1323.896,21.88304477,15.692692999999998,28.11576976,0.1641352069674314
136,136,289,2.27,264,0,3400.1,696.279,23.32767857,18.43894762,27.49015587,0.116674048
137,137,226,2.65,346,346,4071.87,1323.896,21.11290067,18.43894762,28.14994352,0.15561722705455983
138,138,289,4.9,615,205,3600.39,1210.472,23.19349795,16.808805558976715,26.19026488,0.116674048
139,139,226,4.92,264,0,4021.12,766.342,23.32767857,16.062689980141272,26.2304109,0.12906579697870235
140,140,338,5.15,547,0,3787.85,599.974,22.75869977,16.12139915690855,29.26207143,0.16615739638957155
141,141,321,3.13,655,0,3918.94,982.166,23.18415518,16.3729364050234,26.4351208,0.116674048
142,142,317,2.97,395,0,4332.79,1286.104,20.97454843,18.034333599090523,29.26207143,0.16304962282655347
143,143,226,3.69,592,0,3634.05,831.519,21.23732321,15.692692999999998,26.32189508,0.19128837399999998
144,144,262,4.31,362,109,3400.1,1323.896,20.86447593,16.255703624860086,29.09351101,0.15519619385706881
145,145,226,4.39,264,76,4343.47,1323.896,20.58125727,16.071900216267927,26.19026488,0.16011965224624203
146,146,335,3.83,264,330,3758.5,1318.235,21.17479785,15.894710039195331,27.36446066,0.116674048
147,147,301,2.42,449,36,3400.1,893.966,21.88255714,18.0017880762944,27.65009268,0.15238243885590405
148,148,226,4.12,264,139,3400.1,1229.289,23.32767857,18.43894762,28.84722133,0.116674048
149,149,318,3.56,461,0,5320.75,832.6,22.35270448,18.43894762,26.89658777,0.116674048
150,150,320,2.27,264,277,3469.34,1323.896,21.08457842,16.300673677241967,28.57770637,0.16100537580877577
151,151,341,5.78,655,390,3400.1,1323.896,23.32767857,16.26738600778115,29.19024388,0.18659319395865437
152,152,341,5.97,264,0,3400.1,897.642,20.88785296,16.72604817397522,29.26207143,0.18911765169507053
153,153,322,2.27,264,338,4318.9,833.191,23.04053467,16.885673905937733,28.5971213,0.19128837399999998
154,154,320,2.27,264,0,3400.1,1292.552,21.4505688,18.43894762,27.21912559,0.1539271883451664
155,155,325,2.64,655,304,3400.1,660.341,22.44420703,15.692692999999998,28.12697204,0.18972563478224794
156,156,281,2.27,624,372,4210.58,1323.896,21.02492384,15.98305306609918,27.49915343,0.14843593101802305
157,157,321,2.27,407,320,5320.75,1323.896,23.32767857,15.692692999999998,27.40973603,0.17828840798769144
158,158,333,2.27,264,0,4120.16,667.007,21.57393809,16.65850932880935,29.26207143,0.116674048
159,159,341,6.03,264,118,3429.56,1323.896,20.68314099,18.43894762,29.26207143,0.13037203618650794
160,160,341,2.27,594,250,3575.44,1285.052,20.58125727,16.655116330786274,27.93654685,0.16992690219851309
161,161,226,3.88,387,0,3638.35,649.738,20.58125727,18.31846202755242,27.73358974,0.12738475398766322
162,162,239,6.03,511,121,3934.71,1323.896,22.24832851,18.43894762,28.77005642,0.1881895147172628
163,163,328,2.75,613,0,3400.1,674.228,23.32767857,15.920213679142654,28.699214,0.17534131902663963
164,164,341,3.2,611,68,4907.02,1323.896,23.32767857,16.388478224976925,26.19026488,0.1831826100856059
165,165,226,2.27,655,390,3400.1,1323.896,21.63678411,16.4427107899331,26.19026488,0.116674048
166,166,226,2.27,264,374,3400.1,1323.896,23.32767857,18.43894762,29.23202162,0.19128837399999998
167,167,238,2.68,283,267,3400.1,1323.896,23.32767857,18.43894762,27.30992881,0.19128837399999998
168,168,333,4.73,342,0,3400.1,1323.896,22.93243954,15.760328419072103,29.26207143,0.1513351560615618
169,169,243,4.72,635,0,3732.22,832.96,22.91707083,18.43894762,29.26207143,0.18754981638212478
170,170,341,3.47,264,105,4026.65,1323.896,20.58125727,16.055102528825163,29.26207143,0.116674048
171,171,226,3.2,264,0,4158.49,707.391,23.32767857,18.43894762,29.26207143,0.17249172977374713
172,172,235,5.36,445,199,3400.1,682.107,22.36127442,15.823868426685918,27.51490365,0.1669299870561654
173,173,337,2.27,618,0,4152.89,1323.896,22.97057432,18.43894762,26.36221961,0.116674048
174,174,335,6.03,264,171,3400.1,1323.896,22.19206057,18.43894762,28.22391781,0.116674048
175,175,229,6.03,264,373,3400.1,1323.896,20.58125727,15.740717946049994,27.10340656,0.153901903943746
176,176,322,3.95,299,0,3750.52,915.885,21.74574341,18.43894762,29.26207143,0.116674048
177,177,341,2.27,264,52,3904.12,912.987,22.43448366,15.692692999999998,29.26207143,0.116674048
178,178,339,3.1,264,390,3933.36,1323.896,20.58125727,16.515714207627504,29.26207143,0.1657772628563391
179,179,333,3.46,264,350,4729.23,1323.896,22.60627846,18.43894762,26.27828318,0.12861190623887794
180,180,336,4.73,655,250,3564.06,1323.896,23.32767857,18.43894762,27.98052984,0.116674048
181,181,341,5.47,549,38,3400.1,658.037,21.96619573,17.910720339854887,27.47870481,0.116674048
182,182,226,3.48,525,390,3457.29,1323.896,21.86049591,16.852916457563133,28.81518654,0.14023987862841975
183,183,341,2.27,619,46,3400.1,919.429,23.08384914,16.081346778820055,26.19026488,0.12411979193333471
184,184,226,6.03,655,180,5260.36,687.782,21.2134299,16.165187978056085,29.26207143,0.15778699767928672
185,185,303,6.03,264,194,3400.1,630.645,23.32767857,16.445405833237356,27.8600283,0.19128837399999998
186,186,341,2.27,655,150,3400.1,670.934,23.32767857,18.43894762,29.26207143,0.16777284427337058
187,187,324,2.27,539,0,3500.81,1323.896,23.32767857,15.692692999999998,26.19026488,0.116674048
188,188,297,2.27,507,0,3850.61,807.013,23.08602748,15.692692999999998,28.28451907,0.116674048
189,189,301,2.7,533,390,4877.49,1323.896,23.32767857,16.595921432056148,27.81912202,0.13406260902825787
190,190,291,2.27,574,64,4379.46,731.681,21.08161255,18.43894762,29.26207143,0.18157672149018678
191,191,341,2.27,264,0,3400.1,1323.896,23.06490345,15.946416727359129,27.02882081,0.18128819066123994
192,192,341,2.27,264,167,3400.1,1323.896,23.32767857,16.514813401048997,27.62372578,0.14975343094513827
193,193,336,2.27,264,197,3400.1,850.314,22.30831074,18.43894762,28.82951223,0.16216786172382208
194,194,341,4.31,600,390,3781.65,1323.896,23.32767857,16.028696388213195,29.26207143,0.116674048
195,195,321,2.47,634,390,4381.68,833.413,20.58125727,16.49284121723258,28.67680027,0.19128837399999998
196,196,286,6.03,589,390,4387.71,1065.831,20.58125727,15.800330084195675,27.71019028,0.16223730689561572
197,197,341,2.27,264,82,3555.17,1323.896,21.52256493,18.43894762,29.26207143,0.18775163297819839
198,198,341,2.67,551,136,5270.9,1211.191,20.58125727,18.43894762,26.66513408,0.19128837399999998
199,199,236,4.9,532,390,3400.1,986.714,20.58125727,18.43894762,29.26207143,0.16212520838259184
200,200,226,5.67,593,0,4836.89,1323.896,21.31168707,15.85647078208543,26.7430971,0.1766858920787407
201,201,226,2.8,264,337,4043.07,1323.896,23.32767857,16.282816138943943,29.26207143,0.1505548461848007
202,202,313,3.16,331,382,3400.1,1323.896,21.14743942,18.43894762,29.26207143,0.15331295074296544
203,203,270,6.03,595,0,3909.19,1323.896,23.32767857,17.672969520892714,28.65360636,0.15711900515537655
204,204,292,4.29,501,208,3817.75,1323.896,23.11646708,16.8212351663667,28.81431494,0.15460986356254147
205,205,333,6.03,655,0,3400.1,1323.896,23.32767857,16.793497940715742,28.3843743,0.15516164338467864
206,206,312,3.93,655,0,4283.21,1323.896,23.24641906,15.720286885139348,26.41701196,0.1175735016970155
207,207,262,4.92,548,219,3400.1,767.118,23.32767857,18.43894762,28.54959108,0.16776065635393436
208,208,299,2.27,264,0,3400.1,753.822,21.82027972,16.048638740508117,28.81784776,0.16047140371283425
209,209,340,6.03,655,0,3821.08,1323.896,22.55056953,16.086900970979492,28.97183027,0.116674048
210,210,341,2.27,280,384,3415.01,1313.804,20.58125727,16.203027446810786,27.23355508,0.17272158162092663
211,211,256,5.66,655,229,3400.1,953.56,21.81947019,15.761919052263783,28.28688179,0.116674048
212,212,226,2.61,593,301,4320.79,1323.896,20.58125727,16.752224723164172,27.96364553,0.1313538429873152
213,213,226,2.4,574,269,3400.1,716.093,20.87310907,18.43894762,26.61803214,0.116674048
214,214,324,2.37,547,238,3738.32,1323.896,20.99196031,16.6843491278755,27.87340523,0.116674048
215,215,341,2.27,549,110,3400.1,1323.896,23.32767857,17.56317637735986,26.8315105,0.116674048
216,216,335,6.03,371,0,3802.83,885.806,22.76088801,16.909646505751518,29.26207143,0.19128837399999998
217,217,340,2.27,584,122,3400.1,642.182,21.42495972,16.373636725010936,27.39629499,0.17173408149054634
218,218,341,2.27,655,344,3787.97,1323.896,23.10220148,16.287809742372158,28.38446087,0.16885181507467412
219,219,335,4.6,264,221,3841.87,718.353,20.733261,18.43894762,28.45186464,0.116674048
220,220,315,2.31,636,25,4454.36,1323.896,23.29550729,16.00552233719509,29.26207143,0.1278400882973978
221,221,322,3.29,264,266,3432.6,1323.896,21.01877009,15.783015585537651,27.269802,0.116674048
222,222,341,6.03,264,100,3598.35,1323.896,22.61199228,18.29008750809876,29.26207143,0.1878986526286705
223,223,312,3.46,600,0,3876.37,1323.896,20.58125727,16.50414319278277,29.26207143,0.18248326729753422
224,224,307,4.54,570,240,4854.1,780.33,21.04663285,15.93453802212317,29.19480399,0.116674048
225,225,268,5.53,264,380,4182.28,834.871,21.39716904,17.65169332875367,28.79455795,0.14829767676886646
226,226,245,3.26,557,270,5320.75,772.815,21.88691143,15.924090377124493,29.26207143,0.19128837399999998
227,227,324,6.03,312,11,3539.8,1323.896,23.32767857,16.78102688098921,28.84059847,0.13410962247065725
228,228,325,5.77,346,390,3400.1,841.19,21.1369903,18.43894762,26.42039616,0.116674048
229,229,304,2.32,481,265,3400.1,1323.896,23.32767857,16.005465680991392,28.26442672,0.116674048
230,230,273,2.27,628,282,3400.1,1323.896,20.58125727,16.36062790740972,28.04645815,0.11952128808024973
231,231,286,2.27,626,0,3986.29,1323.896,23.32767857,16.425521580360943,29.26207143,0.19128837399999998
232,232,226,3.03,638,0,4899.14,1323.896,21.91593347,16.12643557570952,28.48519377,0.19128837399999998
233,233,324,2.27,655,379,4841.27,1323.896,22.34289873,15.80684695074636,29.26207143,0.116674048
234,234,341,3.82,631,290,3400.1,947.407,22.53559616,18.12743881510767,27.89876094,0.15202453069550995
235,235,341,3.6,615,105,3993.56,893.603,22.18268675,18.035985940048995,26.19026488,0.16823809920467656
236,236,300,5.44,655,288,3491.38,1116.63,22.12666501,17.595656359640735,29.26207143,0.116674048
237,237,299,5.18,264,170,4386.82,1323.896,22.93400995,18.43894762,29.26207143,0.19128837399999998
238,238,341,2.27,553,0,3400.1,844.241,20.61306103,16.945714528547708,29.26207143,0.116674048
239,239,319,2.27,264,289,3400.1,610.908,21.65428843,17.347983152368666,29.26207143,0.116674048
240,240,303,4.24,612,390,3817.46,825.856,23.32767857,18.43894762,26.70795829,0.1818040617856175
241,241,271,3.91,264,50,3400.1,950.405,21.45746975,18.43894762,29.26207143,0.1572340361220833
242,242,226,2.27,264,21,3915.9,1323.896,20.86283023,15.692692999999998,29.26207143,0.116674048
243,243,307,2.27,264,0,3656.51,883.333,22.20279999,15.845824093710595,28.69920442,0.16710814018259534
244,244,341,4.54,655,0,3721.87,764.68,22.98796208,18.43894762,29.26207143,0.19128837399999998
245,245,341,4.54,655,0,3400.1,1323.896,20.77328099,16.57469318538603,26.19026488,0.116674048
246,246,331,3.31,641,0,3400.1,1323.896,23.32767857,15.692692999999998,27.4820202,0.11711153114432125
247,247,320,2.27,307,0,3400.1,896.255,20.65594296,15.692692999999998,27.4338776,0.14828595278986367
248,248,325,2.27,655,114,3400.1,1251.653,21.76960923,16.643934142065483,29.146613,0.116674048
249,249,341,2.27,264,390,3400.1,1323.896,21.89622826,15.824870809529147,28.06310603,0.116674048
250,250,329,5.24,632,35,3400.1,1196.577,22.20149811,18.43894762,27.71656796,0.16904142957231438
251,251,226,2.51,655,227,5320.75,1323.896,21.24012623,15.692692999999998,28.9433286,0.19128837399999998
252,252,314,5.92,655,71,4662.51,951.954,20.58125727,18.43176332192234,28.37126487,0.116674048
253,253,322,2.27,601,343,3400.1,1323.896,23.32767857,16.856689181438973,27.04324778,0.116674048
254,254,232,5.45,574,0,4134.98,1323.896,21.7006191,16.757131252632064,29.26207143,0.1734925528728001
255,255,341,2.27,655,0,4151.6,970.977,22.91180921,18.43894762,29.05872488,0.15807425558990607
256,256,341,2.98,655,390,3400.1,1323.896,20.58125727,16.200493522404567,28.49215634,0.116674048
257,257,270,2.27,390,272,5125.68,743.003,21.46927491,16.5577348500945,28.24973984,0.116674048
258,258,334,2.81,264,0,3976.7,876.322,22.5338179,16.04062823682791,26.19026488,0.12981945173990744
259,259,338,2.27,562,231,3400.1,1323.896,23.32767857,16.561534233355065,28.00620791,0.18143833301926962
260,260,276,3.75,619,72,4099.99,1323.896,23.32767857,15.9818406955008,29.26207143,0.15565785539792346
261,261,307,6.03,264,74,3400.1,1323.896,23.32767857,18.43894762,29.26207143,0.1643310459422192
262,262,281,6.03,603,0,3400.1,1323.896,21.39833448,16.477631336685825,28.38823196,0.116674048
263,263,341,6.03,549,85,3575.18,1323.896,20.75709913,18.43894762,26.23469972,0.16220299281072945
264,264,226,4.38,523,0,3429.32,1281.364,23.32767857,16.42042510778807,27.58283497,0.19128837399999998
265,265,226,5.03,655,196,3785.69,773.419,23.32767857,17.53896314731005,29.26207143,0.15588771891656042
266,266,286,6.01,264,0,4606.96,1323.896,22.22119023,15.692692999999998,29.26207143,0.16663885422167457
267,267,341,2.27,523,106,3514.86,717.339,20.58125727,16.132124748543188,27.27856924,0.1551819400491743
268,268,312,2.52,543,361,3400.1,863.108,23.23981393,18.43894762,26.91085621,0.19128837399999998
