,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
13,13,Georgia,Tifton,2/21/2008,Hybri Force 700,11/17/2010,308,5.09,903,15,4261.74,798.283025555328,20.58125727,37.55396289763274,65.45943102,0.5058374404535748
14,14,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,226,4.14,264,0,4898.14,1261.4506034557473,138.9297511,52.94987782030131,176.8482793,0.19449347213528634
15,15,Georgia,Midville,11/1/2007,CW 36106,12/7/2009,245,3.06,689,302,4521.75,827.6030870657119,20.58125727,19.608834610858278,93.97846859,0.13590583654566188
16,16,Georgia,Tifton,11/1/2007,CW 36106,12/7/2009,311,2.81,525,166,4300.66,677.535939050997,69.97031634,15.692692999999998,176.29924101,0.6722131990000001
17,17,Georgia,Midville,11/1/2007,BaraWet 501,11/17/2010,245,2.99,867,381,3400.1,689.1043416503544,20.58125727,71.53355924806942,176.8482793,0.152722898324835
18,18,Georgia,Midville,11/1/2007,Hybri Force 600,11/11/2008,252,2.56,1000,232,4642.7,698.2703234265609,53.0321761,38.822834382661824,79.32476296,0.31311335770180543
19,19,Georgia,Tifton,2/21/2008,CW 36106,12/7/2009,341,2.27,264,0,4821.8,798.2799062295602,20.58125727,15.692692999999998,176.8482793,0.1881064451301375
20,20,Georgia,Tifton,2/21/2008,Hybri Force 700,11/11/2008,236,5.14,264,390,3400.1,1323.896,20.58125727,15.692692999999998,135.08420713,0.116674048
21,21,Georgia,Tifton,2/21/2008,PGI 909,11/11/2008,294,2.27,793,64,4131.12,863.8850094723061,20.58125727,105.98888659999999,126.81154536,0.6722131990000001
22,22,Georgia,Tifton,11/1/2007,PGI 909,11/17/2010,226,6.03,627,390,4330.17,599.974,27.91885281,21.08094121702542,176.8482793,0.20594459447441055
23,23,Georgia,Midville,11/1/2007,CW 36106,8/14/2009,258,5.58,264,0,4120.56,1323.896,30.39651244,103.30892779363359,101.18246027,0.6722131990000001
24,24,Georgia,Midville,11/1/2007,Attention II,11/20/2008,341,5.76,264,337,5320.75,893.6802151961183,138.9297511,76.08659267290706,121.18256534,0.14199236971698587
25,25,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,341,2.27,1000,373,4200.84,812.4214451705387,128.90511066,15.692692999999998,161.46308654,0.6722131990000001
26,26,Georgia,Tifton,11/1/2007,TS 8031,11/20/2008,287,5.58,550,271,5104.81,1135.9205735875767,65.26179878,15.692692999999998,112.30679804,0.28183724594124265
27,27,Georgia,Midville,2/21/2008,GA-505,8/14/2009,295,3.49,611,208,5320.75,828.6397867758778,109.29678864,105.98888659999999,103.93744646,0.2325859982554474
28,28,Georgia,Midville,2/21/2008,Hybri Force 700,8/14/2009,264,6.03,693,306,4706.69,795.4765845795704,24.50629265,105.98888659999999,26.19026488,0.6722131990000001
29,29,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,277,6.03,295,184,4858.97,798.9833552339522,92.87079985,22.510082373769148,40.11333828,0.3782513001018677
30,30,Georgia,Tifton,2/21/2008,Bara 503,8/14/2009,323,3.61,264,265,5320.75,599.974,20.58125727,105.98888659999999,176.8482793,0.22488386765096668
31,31,Georgia,Midville,11/1/2007,GA-505,11/11/2008,270,3.06,812,0,4599.5,1323.896,138.9297511,15.692692999999998,44.34301726,0.21225949161169888
32,32,Georgia,Midville,2/21/2008,Attention II,8/14/2009,226,2.79,264,337,5181.62,1323.896,20.58125727,15.692692999999998,141.90726574,0.116674048
33,33,Georgia,Midville,11/1/2007,PGI 909,12/7/2009,226,2.27,601,304,3477.48,1323.896,75.67893326,16.45908239702745,69.77809828,0.6722131990000001
34,34,Georgia,Midville,2/21/2008,PGI 801,11/20/2008,255,5.65,264,390,4866.7,1125.4126458999058,20.58125727,57.57097121746023,41.14606532,0.116674048
35,35,Georgia,Tifton,2/21/2008,Hybri Force 700,8/14/2009,306,2.27,264,0,5212.4,793.3554430574875,20.58125727,16.57216462486955,169.90471367,0.5579252373481016
36,36,Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,265,2.27,662,390,4208.3,764.5683429807831,57.59429045,15.824412296720713,95.806286,0.20252020740896523
37,37,Georgia,Tifton,2/21/2008,CW 36106,12/7/2009,341,4.45,548,238,4729.32,840.6774126712344,116.21100895,16.104068836454367,54.71039446,0.40764245903586327
38,38,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,308,2.27,676,390,4288.37,599.974,138.9297511,32.16593574357391,46.21243249,0.6382831471690602
39,39,Georgia,Tifton,11/1/2007,TS 8031,11/11/2008,341,3.1,264,390,5320.75,1199.1180452315111,138.9297511,32.547116341351014,96.40595738,0.6722131990000001
40,40,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,316,4.98,648,78,4012.3,835.4520294132973,105.85955206,86.8452849445108,26.19026488,0.2618437207205905
41,41,Georgia,Midville,2/21/2008,PGI 801,8/14/2009,316,6.03,733,0,3400.1,1321.0807155039188,55.20983181,15.692692999999998,95.85175717,0.5194423608739722
42,42,Georgia,Tifton,11/1/2007,PGI 801,8/14/2009,292,2.27,687,0,4862.25,1208.5909375233068,56.40906693,57.2926142236535,70.15261781,0.116674048
43,43,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,239,4.35,527,390,4584.17,848.3932948028673,132.58794603,23.48559520743804,120.66570954,0.529624554714851
