State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
Georgia,Tifton,2/21/2008,GA-505,11/17/2010,333,4.24,536,352,4570.26,821.7564187,20.58125727,15.692693,26.19026488,0.130031503
Georgia,Tifton,11/1/2007,Attention II,8/14/2009,313,2.27,264,113,5320.75,599.974,20.58125727,15.692693,176.8482793,0.116674048
Georgia,Midville,2/21/2008,Attention II,11/11/2008,341,4.21,397,315,3979.52,599.974,20.58125727,30.40537782,28.40827529,0.116674048
Georgia,Midville,11/1/2007,Attention II,11/17/2010,339,4.59,264,193,4041.11,599.974,20.58125727,15.692693,176.8482793,0.170070323
Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,298,2.27,425,0,5320.75,599.974,111.2204883,25.3411787,27.23443586,0.116674048
Georgia,Midville,2/21/2008,CW 36106,11/11/2008,306,4.08,560,232,3917.81,599.974,20.58125727,105.9888866,26.19026488,0.256933052
Georgia,Midville,11/1/2007,GA-505,8/14/2009,264,4.34,1000,289,5320.75,702.7399463,24.4885562,95.96392313,39.41810426,0.611847546
Georgia,Midville,2/21/2008,GA-505,11/20/2008,318,6.03,633,355,5320.75,599.974,20.58125727,72.76583155,26.19026488,0.116674048
Georgia,Midville,2/21/2008,GA-505,8/14/2009,341,4.89,546,390,5320.75,669.0932824,20.58125727,15.692693,26.19026488,0.285908821
Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,2.27,762,320,5156.49,682.475188,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,Hybri Force 600,11/17/2010,341,3.58,737,310,4617.53,599.974,22.70693292,61.43727376,116.0091504,0.171690675
Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,328,2.75,483,390,4377.48,609.5535461,20.58125727,103.5970776,26.19026488,0.235833037
Georgia,Tifton,2/21/2008,Attention II,8/14/2009,330,3.41,920,0,4730.72,599.974,98.45854441,19.55925923,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,Hybri Force 600,11/17/2010,272,2.92,671,0,5320.75,626.5407538,59.24726828,20.95253062,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,226,3.27,291,390,5320.75,599.974,71.88537802,15.692693,26.19026488,0.417935547
Georgia,Midville,11/1/2007,CW 36106,11/11/2008,333,4.33,264,390,4766,601.0814251,46.71464014,15.692693,26.19026488,0.207009147
Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,331,6.03,618,389,5320.75,632.2020828,20.58125727,15.692693,26.19026488,0.470062491
Georgia,Midville,11/1/2007,Bara 503,11/17/2010,322,3.34,596,366,4013.51,599.974,20.58125727,93.82799796,26.19026488,0.452423969
Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,325,5.41,726,365,5308.93,800.4664643,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,CW 36106,8/14/2009,341,5.65,1000,236,5320.75,599.974,20.58125727,15.692693,26.19026488,0.16154924
Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,334,4.33,812,390,5320.75,871.2350138,20.58125727,15.692693,26.19026488,0.334841252
Georgia,Midville,2/21/2008,CW 36106,11/17/2010,315,3.22,377,390,5320.75,633.5846525,20.58125727,15.692693,26.19026488,0.672213199
Georgia,Midville,11/1/2007,Attention II,8/14/2009,298,4.16,264,175,3492.23,1055.934445,31.98079208,15.692693,33.64606764,0.116674048
Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,307,2.27,670,0,5320.75,599.974,20.58125727,28.24737366,125.2314154,0.135842278
Georgia,Midville,11/1/2007,GA-505,11/11/2008,329,5.93,264,0,4075.98,599.974,30.69132453,22.00529556,26.19026488,0.116674048
Georgia,Midville,11/1/2007,GA-505,11/17/2010,331,3.44,705,0,3400.1,661.1206659,20.58125727,23.69242363,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,325,3.54,563,25,5320.75,764.4862215,34.93719641,15.692693,26.19026488,0.191833031
Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,313,4.2,457,0,4499.17,599.974,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,BaraWet 501,11/17/2010,303,4.84,633,42,5320.75,649.5445221,49.44183819,19.56014504,92.10450507,0.116674048
Georgia,Midville,2/21/2008,GA-505,11/17/2010,228,4.15,312,195,3409.62,599.974,20.58125727,30.13520605,36.71596637,0.116674048
Georgia,Midville,11/1/2007,GA-505,12/7/2009,330,2.27,264,0,5068.75,611.9474137,20.58125727,15.692693,26.19026488,0.188774369
Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,226,2.9,646,0,5202.99,599.974,20.58125727,83.40621931,26.19026488,0.556210589
Georgia,Tifton,11/1/2007,Attention II,12/7/2009,226,6.03,264,155,4187.18,709.4429516,30.40364792,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,PGI 909,11/17/2010,270,4.2,795,132,5320.75,785.0614909,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,Attention II,11/17/2010,326,2.27,837,390,5320.75,610.6925673,30.10434318,21.00541871,26.19026488,0.253811751
Georgia,Midville,11/1/2007,GA-505,11/11/2008,324,5.52,783,45,5320.75,1051.347417,53.41766159,15.692693,26.19026488,0.157884974
Georgia,Tifton,11/1/2007,BaraWet 501,12/7/2009,309,6.03,504,0,5281.06,748.9448704,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,PGI 909,11/11/2008,315,5.48,658,289,4340.59,958.0009534,20.58125727,36.77872165,36.07084168,0.473863518
Georgia,Tifton,11/1/2007,PGI 801,11/17/2010,302,3.47,345,152,3494.76,599.974,20.58125727,67.99103147,26.19026488,0.116674048
Georgia,Midville,2/21/2008,PGI 801,12/7/2009,233,3.04,710,151,4253.41,607.0139668,20.58125727,16.49641779,26.19026488,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,328,5.75,701,332,5320.75,1149.826896,108.8159104,39.60677181,73.44107253,0.143248407
Georgia,Midville,2/21/2008,CW 36106,11/17/2010,292,2.87,551,0,3647.27,692.153648,20.58125727,15.98728856,96.54713318,0.121525954
Georgia,Midville,2/21/2008,Attention II,8/14/2009,336,2.73,648,390,3905.85,726.0023237,20.58125727,15.692693,33.90893268,0.12788738
Georgia,Tifton,2/21/2008,GA-505,8/14/2009,240,2.27,527,285,3400.1,599.974,67.68641682,26.13291828,26.19026488,0.168448193
Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,226,3.85,970,206,4460.5,663.45369,20.58125727,30.41717029,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,PGI 909,12/7/2009,341,5.54,660,44,4008.73,603.5348282,120.7942213,15.692693,167.2338418,0.116674048
Georgia,Tifton,11/1/2007,Attention II,12/7/2009,317,6.03,1000,0,3966.49,737.9146421,42.23436234,105.9888866,50.68026515,0.18210271
Georgia,Tifton,2/21/2008,Hybri Force 700,8/14/2009,297,3.87,297,267,4852.37,599.974,34.97603738,25.49263486,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,GA-505,11/11/2008,341,6.03,351,390,4213.71,666.1542438,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,PGI 909,11/11/2008,341,6.03,735,364,4287.74,662.3713791,20.58125727,17.07072608,26.19026488,0.168598652
Georgia,Midville,2/21/2008,Bulldog 805,11/20/2008,341,6.03,623,82,4499.01,599.974,20.58125727,19.57151998,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,335,2.63,777,0,5320.75,599.974,20.58125727,15.692693,26.19026488,0.128592181
Georgia,Tifton,11/1/2007,Hybri Force 700,11/11/2008,341,3.67,1000,227,5320.75,689.2727117,28.85264842,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,335,4.37,1000,390,5320.75,1296.73185,33.78495978,16.46000845,26.30609154,0.138234755
Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,338,4.92,561,0,3558.05,599.974,106.3603034,105.9888866,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,339,2.98,543,0,5319.73,634.4122098,36.67318817,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,PGI 801,11/17/2010,245,2.27,587,0,4027.66,715.989341,20.58125727,15.692693,26.19026488,0.62836007
Georgia,Tifton,11/1/2007,Hybri Force 700,11/20/2008,232,3.16,695,24,3504.09,704.4351803,20.58125727,105.9888866,53.4399681,0.116674048
Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,316,2.27,551,371,3914.76,625.9113638,24.81472284,86.95358088,26.19026488,0.511497898
Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,327,4.95,513,0,5320.75,599.974,20.58125727,24.45440644,26.19026488,0.198195333
Georgia,Tifton,11/1/2007,BaraWet 501,11/11/2008,303,5.7,264,347,4045.59,619.9793435,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,TS 8031,11/20/2008,325,4,264,111,4102.22,599.974,23.08717417,16.89091058,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,11/17/2010,310,4.57,264,0,4141.94,1231.401163,20.58125727,105.587299,26.19026488,0.248516327
Georgia,Tifton,11/1/2007,Hybri Force 600,12/7/2009,226,4.11,937,278,3558.65,599.974,20.58125727,76.12609185,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,8/14/2009,319,5.96,660,0,3665.91,691.6990371,21.4224625,15.692693,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,Hybri Force 700,12/7/2009,312,6.03,494,187,4480.76,687.1520519,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,Attention II,12/7/2009,341,3.27,596,378,5320.75,719.9413423,20.58125727,105.9888866,38.89117888,0.116674048
Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,278,4.14,287,210,4923.26,843.6703179,37.09654327,105.9888866,26.19026488,0.116674048
Georgia,Midville,2/21/2008,Bulldog 805,12/7/2009,325,6.03,610,371,4381.8,599.974,22.78234939,15.692693,26.56117242,0.116674048
Georgia,Midville,2/21/2008,TS 8031,11/11/2008,336,3.78,264,289,3400.1,745.504326,37.64631925,15.692693,35.0283901,0.147388091
Georgia,Tifton,11/1/2007,CW 36106,11/20/2008,341,6.03,549,390,5320.75,892.0995036,20.58125727,77.87392953,26.19026488,0.157006225
Georgia,Midville,2/21/2008,GA-505,11/20/2008,311,3,322,390,5307.12,753.8830743,138.9297511,15.692693,28.06836543,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 600,11/17/2010,334,4.4,969,373,5320.75,1323.896,43.07904896,15.692693,39.44409786,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 700,8/14/2009,316,5.17,600,390,4562.54,666.0804117,30.47530017,15.692693,26.19026488,0.126963223
Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,4.88,309,390,5320.75,1323.896,52.59629628,105.9888866,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,GA-505,12/7/2009,319,3.79,1000,390,5320.75,730.5068699,49.85726308,62.66125561,26.19026488,0.128597582
Georgia,Midville,2/21/2008,Bara 503,12/7/2009,341,4.09,457,390,5320.75,760.0401888,20.58125727,22.52597754,26.19026488,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,341,3.41,538,390,5320.75,795.5953146,43.06503891,84.13897604,33.68694517,0.116674048
Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,341,2.74,922,390,3400.1,744.3483655,20.58125727,19.18071901,101.8066949,0.485696065
Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,298,4.54,600,197,5320.75,780.6413529,20.58125727,105.9888866,26.19026488,0.500004286
Georgia,Midville,11/1/2007,Bara 503,11/20/2008,333,4.49,264,390,5320.75,1323.896,20.58125727,54.14767976,56.47284399,0.116674048
Georgia,Tifton,2/21/2008,CW 36106,11/20/2008,341,4.92,1000,225,5301.05,1323.896,47.24143537,27.9893198,176.8482793,0.129183627
Georgia,Tifton,11/1/2007,TS 8031,11/11/2008,341,2.48,264,0,5068.95,1323.896,27.74020473,46.74229579,26.19026488,0.156248857
Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,301,5.63,612,390,5320.75,1054.174551,35.64602793,105.9888866,26.19026488,0.136078307
Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,340,2.27,301,390,4880.21,1323.896,37.46903332,15.692693,40.18572821,0.116674048
Georgia,Tifton,11/1/2007,PGI 801,11/11/2008,326,5.14,264,348,4443.46,810.7523484,38.72967806,15.692693,98.67623769,0.264843666
Georgia,Midville,2/21/2008,GA-505,11/20/2008,280,2.75,567,207,5320.75,1323.896,30.38253999,88.42308018,26.19026488,0.243851713
Georgia,Tifton,11/1/2007,Bara 503,11/17/2010,328,2.62,555,383,3400.1,1323.896,20.58125727,105.9888866,26.19026488,0.53603758
Georgia,Midville,2/21/2008,Hybri Force 600,12/7/2009,328,4.77,516,390,5029.1,1097.93336,20.58125727,24.37956679,176.8482793,0.116674048
Georgia,Tifton,2/21/2008,BaraWet 501,11/17/2010,341,5.01,793,306,5060.91,1323.896,138.9297511,105.9888866,132.33622,0.121734196
Georgia,Tifton,2/21/2008,Attention II,11/20/2008,341,4.22,584,92,4748.99,1323.896,41.14059169,15.692693,45.05034719,0.196348426
Georgia,Midville,2/21/2008,PGI 909,11/20/2008,317,6.03,1000,390,3944.77,888.2519798,20.58403316,20.21477163,30.24923812,0.210131281
Georgia,Midville,2/21/2008,PGI 801,11/17/2010,334,2.27,759,390,4242.84,650.7646801,45.81481665,77.61368307,26.19026488,0.116674048
Georgia,Midville,2/21/2008,GA-505,12/7/2009,341,2.96,660,311,5320.75,1323.896,49.73735728,15.692693,44.3149378,0.140884238
Georgia,Tifton,2/21/2008,GA-505,11/20/2008,269,4.9,872,379,3518.47,1323.896,29.37035544,27.90109103,26.19026488,0.672213199
Georgia,Midville,11/1/2007,BaraWet 501,11/17/2010,323,2.45,759,88,3965.68,733.7438891,55.19836688,30.14638696,141.2562653,0.116674048
Georgia,Midville,2/21/2008,Bara 503,11/11/2008,341,4.26,511,0,5320.75,1082.653593,24.30915526,22.56185014,26.19026488,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 700,11/11/2008,331,5.66,335,386,5146.8,716.4294332,29.38583133,33.06953704,26.19026488,0.135068713
Georgia,Tifton,2/21/2008,CW 36106,11/20/2008,341,4.19,880,390,5073.96,794.4511118,43.18278669,28.12131518,94.04280966,0.142260015
Georgia,Midville,11/1/2007,Bulldog 805,12/7/2009,341,3.43,650,312,5138.11,653.2609064,29.55610027,105.9888866,176.8482793,0.613849483
Georgia,Tifton,11/1/2007,TS 8031,11/17/2010,311,4.14,1000,114,4489.98,786.8566732,48.40548187,15.692693,68.51292768,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,11/17/2010,341,4.29,569,390,5320.75,656.671343,27.4782945,105.9888866,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,8/14/2009,341,3.89,639,390,3741.76,665.4420832,35.47203714,20.50400086,95.74203325,0.116674048
Georgia,Tifton,2/21/2008,Bulldog 805,12/7/2009,293,5.04,521,390,4802.79,1323.896,20.58125727,105.9888866,26.19026488,0.264942732
Georgia,Midville,11/1/2007,BaraWet 501,11/11/2008,316,4.81,913,339,5207.46,700.8024248,41.7061529,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,249,5.33,684,390,5320.75,792.6428672,138.9297511,15.692693,36.81825314,0.165612082
Georgia,Tifton,11/1/2007,Hybri Force 600,11/11/2008,341,2.34,264,201,5043.9,619.6361146,46.2917554,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,CW 36106,11/17/2010,341,2.79,1000,390,4776.44,789.4989002,27.9481536,16.29566459,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,CW 36106,11/20/2008,341,2.53,717,296,5320.75,654.4391023,138.9297511,24.16410722,27.87403428,0.117428432
Georgia,Tifton,2/21/2008,PGI 909,8/14/2009,341,4.91,746,390,4423.56,1323.896,46.3996018,105.9888866,43.68745354,0.116674048
Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,308,3.35,1000,390,3963.87,800.0957125,23.41230196,25.78441525,28.93044335,0.12346941
Georgia,Tifton,2/21/2008,Attention II,11/11/2008,331,4.9,264,390,3951.16,641.7154367,28.32315599,105.9888866,176.8482793,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 600,12/7/2009,329,5.44,717,0,3400.1,801.500772,20.58125727,105.9888866,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,PGI 801,11/20/2008,308,3.35,785,264,4759.05,1323.896,20.58125727,17.08968991,26.19026488,0.12694983
Georgia,Tifton,11/1/2007,Hybri Force 700,11/17/2010,300,5.12,573,44,4708.46,747.2412829,20.58125727,105.9888866,26.19026488,0.116674048
Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,325,3.07,770,390,4160.95,736.7931522,138.9297511,18.37918213,29.48278775,0.213107936
Georgia,Midville,11/1/2007,Hybri Force 700,11/17/2010,296,4.62,1000,390,3526.37,599.974,34.72142233,105.9888866,26.19026488,0.205716309
Georgia,Tifton,11/1/2007,PGI 801,8/14/2009,315,6.03,769,201,3400.1,599.974,124.2316106,15.692693,26.19026488,0.116674048
Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,290,3.72,814,390,4618.94,676.9543396,36.47386551,55.06408884,35.11356375,0.303009626
Georgia,Midville,2/21/2008,TS 8031,12/7/2009,315,3.67,677,149,4926.01,599.974,34.66949658,105.9888866,57.21635285,0.215979918
Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,226,5.08,743,307,4434.46,746.2040993,28.74143121,15.692693,26.19026488,0.238466496
Georgia,Midville,2/21/2008,Hybri Force 700,8/14/2009,332,5.34,756,190,4874.9,802.8244133,45.53185449,28.0847541,26.61579762,0.149299518
Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,226,4.4,264,44,4116.46,1151.022454,20.58125727,29.6181579,26.19026488,0.185446885
Georgia,Tifton,11/1/2007,Attention II,11/20/2008,302,4.16,264,143,4687.47,1323.896,41.8205884,18.88701239,26.19026488,0.161859744
Georgia,Tifton,2/21/2008,Hybri Force 600,11/20/2008,226,2.27,515,390,4458.7,599.974,20.58125727,28.02646889,26.19026488,0.13646334
Georgia,Tifton,11/1/2007,Hybri Force 600,12/7/2009,301,5.94,600,390,4473.54,678.2006911,104.9176424,105.9888866,47.87254592,0.26067555
Georgia,Tifton,11/1/2007,Hybri Force 700,12/7/2009,293,3.21,582,390,4510.63,663.8839225,37.80452655,105.9888866,58.93709886,0.22519352
Georgia,Midville,11/1/2007,Hybri Force 700,8/14/2009,318,3.28,1000,390,4154.61,599.974,28.47426076,22.74510812,26.19026488,0.157663799
Georgia,Midville,11/1/2007,PGI 909,8/14/2009,341,4.24,1000,390,3990.06,705.9154655,41.77518682,30.96712878,51.24450796,0.129651327
Georgia,Tifton,2/21/2008,TS 8031,8/14/2009,301,3.11,278,0,4323.98,615.7901001,20.58125727,105.9888866,26.19026488,0.525921461
Georgia,Tifton,11/1/2007,Hybri Force 700,11/11/2008,313,4.94,650,384,3912.57,714.9059076,20.58125727,87.60001222,73.49305321,0.472161952
Georgia,Tifton,11/1/2007,BaraWet 501,11/11/2008,311,2.39,1000,390,5132.89,668.8382223,20.58125727,15.692693,55.20749075,0.211629617
Georgia,Tifton,11/1/2007,Bara 503,12/7/2009,312,6.03,631,288,4651.3,764.240396,20.58125727,25.33935985,26.19026488,0.555878072
Georgia,Tifton,11/1/2007,Bulldog 805,8/14/2009,331,2.65,509,282,4868.69,726.4625009,20.58125727,105.9888866,42.04906323,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,11/20/2008,304,5.02,1000,390,3400.1,1323.896,24.0641136,22.61852867,147.8632301,0.190431319
Georgia,Tifton,11/1/2007,Bara 503,11/20/2008,341,4.66,431,390,3400.1,785.9720017,20.58125727,19.12171007,38.80827721,0.247990488
Georgia,Tifton,2/21/2008,CW 36106,11/11/2008,320,3.91,678,210,4066.28,802.5146986,41.87827305,15.692693,26.19026488,0.672213199
Georgia,Tifton,11/1/2007,TS 8031,12/7/2009,287,2.96,662,366,4914.27,655.1486974,20.58125727,105.9888866,26.19026488,0.150244895
Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,286,4.87,529,390,4935.96,844.4615658,20.58125727,37.07900589,40.16071599,0.116674048
Georgia,Tifton,11/1/2007,CW 36106,11/17/2010,289,2.56,646,390,4111.37,599.974,25.40030279,15.692693,119.0317298,0.116674048
Georgia,Midville,2/21/2008,Bara 503,11/20/2008,302,3.19,264,113,3781.87,680.7788468,30.11018673,28.09342764,56.34906075,0.162300987
Georgia,Midville,11/1/2007,TS 8031,11/11/2008,299,3.68,726,390,4641.82,786.7134151,24.25874606,15.692693,26.58228921,0.116674048
Georgia,Tifton,11/1/2007,CW 36106,11/11/2008,296,4.83,731,136,3400.1,843.1099701,42.04176794,22.78929774,148.6909252,0.126631511
Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,308,2.48,264,390,4692.57,1323.896,32.70160656,29.73963025,42.09030256,0.155540286
Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,302,4.58,588,384,3808.62,824.0146193,20.58125727,19.0759986,26.19026488,0.304403325
Georgia,Tifton,11/1/2007,BaraWet 501,12/7/2009,310,3.49,728,216,3400.1,746.7525963,50.94136612,22.06266829,26.74984355,0.160626076
Georgia,Tifton,2/21/2008,PGI 909,11/11/2008,316,3.36,678,325,3400.1,731.0667082,40.92477265,105.9888866,26.19026488,0.125076401
Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,324,6.03,501,390,4680.9,731.6054289,20.58125727,38.33285572,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,Bara 503,8/14/2009,309,4.68,784,390,5142.16,787.5953065,97.26723721,24.01830937,26.19026488,0.154530183
Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,312,5.21,264,216,4666.24,759.9288329,24.49350961,32.05913592,26.19026488,0.195514685
Georgia,Tifton,2/21/2008,PGI 909,11/11/2008,301,6.03,1000,317,3400.1,742.7721261,22.87250751,90.96998362,50.13378125,0.134055364
Georgia,Tifton,11/1/2007,GA-505,8/14/2009,226,3.07,643,390,3400.1,1212.97057,138.9297511,105.9888866,158.8413044,0.137292264
Georgia,Tifton,11/1/2007,Bulldog 805,8/14/2009,309,3.92,867,390,3505.71,806.9572383,20.58125727,24.41026233,28.5191201,0.13099616
Georgia,Tifton,11/1/2007,Hybri Force 700,11/17/2010,246,4.31,603,78,4381.82,599.974,27.33452682,21.3525784,47.90998091,0.20483207
Georgia,Tifton,2/21/2008,Attention II,11/20/2008,318,2.27,775,316,3975.33,757.9585738,29.74919969,29.28212794,26.19026488,0.116674048
Georgia,Midville,11/1/2007,Hybri Force 600,11/20/2008,323,2.4,566,0,3400.1,789.919202,30.13331926,27.34071369,176.8482793,0.186156554
Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,316,6.03,1000,0,3400.1,709.7742973,49.30961449,21.75378668,26.19026488,0.155339198
Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,316,4.74,1000,390,4472.44,677.8485994,44.79989195,105.9888866,49.26837714,0.259039687
Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,325,5.31,1000,390,3400.1,720.5732862,23.91200542,43.14517845,26.19026488,0.116674048
Georgia,Tifton,11/1/2007,BaraWet 501,11/20/2008,341,2.27,645,390,3400.1,893.6882198,20.58125727,30.19459185,112.2179936,0.19357958
Georgia,Midville,2/21/2008,TS 8031,11/20/2008,316,2.27,349,390,3400.1,785.6234387,36.3414632,29.18269112,81.66859582,0.172255554
Georgia,Tifton,2/21/2008,GA-505,11/11/2008,321,2.43,765,390,3400.1,919.1451687,36.71232399,15.692693,36.56443856,0.120305729
